,WTemp_C1_Avg
1,23.60373
5,23.46356
9,23.32605
13,23.01561
17,22.83789
21,23.22043
25,23.8557
29,23.78556
33,23.69901
37,23.50354
41,23.30951
45,23.30718
49,23.68804
53,23.55
57,23.48312
61,23.28367
65,23.06871
69,23.57688
73,23.95119
77,24.23067
81,23.80258
85,23.67538
89,23.59749
93,23.62436
97,23.69837
101,23.7386
105,23.36997
109,22.96488
113,22.75308
117,23.53116
121,24.02935
125,23.98158
129,23.79536
133,23.42509
137,23.06391
141,23.70003
145,23.96467
149,23.82755
153,23.33993
157,23.38256
161,23.06122
165,23.4676
169,23.74739
173,23.63028
177,23.46602
181,23.1242
185,22.97699
189,23.67736
193,24.00673
197,23.81609
201,23.61699
205,23.35088
209,23.02603
213,23.47577
217,23.66674
221,23.43818
225,23.26755
229,22.80613
233,22.536
237,22.95237
241,23.26668
245,23.18187
249,22.72857
253,22.39392
257,22.10792
261,29.52619
265,25.32873
269,20.03869
273,18.25272
277,16.9858
281,22.71629
285,23.2279
289,23.70112
293,23.36697
297,23.08595
301,22.9662
305,22.89475
309,23.34956
313,23.39551
317,23.17774
321,23.08453
325,22.95854
329,22.87256
333,23.14247
337,23.40372
341,23.12479
345,23.02328
349,22.95278
353,22.91957
357,23.20202
361,23.41978
365,23.31341
369,23.22496
373,23.08881
377,22.99459
381,23.15458
385,23.20477
389,23.16361
393,23.23012
397,23.21274
401,23.24764
405,23.68652
409,23.82874
413,23.69547
417,23.55962
421,23.44244
425,23.43185
429,23.61838
433,23.62142
437,23.58638
441,23.51103
445,23.41157
449,23.40717
453,23.60593
457,23.63662
461,23.52493
465,23.47924
469,23.42555
473,23.38884
477,23.65282
481,23.62732
485,23.57441
489,23.4956
493,23.42346
497,23.36328
501,23.84791
505,23.8144
509,23.67027
513,23.61842
517,23.5696
521,23.53106
525,24.03992
529,24.05019
533,23.85406
537,23.79711
541,23.68402
545,23.54095
549,24.04509
553,23.97639
557,23.82404
561,23.68494
565,23.5443
569,23.45097
573,23.63449
577,24.05348
581,23.82957
585,23.73172
589,23.54805
593,23.44966
597,23.8083
601,23.61073
605,23.42641
609,23.26963
613,23.10665
617,23.04523
621,23.49322
625,23.50119
629,23.29378
633,23.19982
637,23.12536
641,23.14393
645,23.26916
649,23.32709
653,23.24869
657,23.17152
661,23.08697
665,23.00626
669,23.05695
673,23.20536
677,23.12244
681,22.96741
685,22.90372
689,22.85647
693,23.20218
697,23.21563
701,23.12222
705,23.02449
709,22.92268
713,22.82983
717,23.30206
721,23.27725
725,23.16783
729,23.04939
733,22.95602
737,22.90282
741,23.38494
745,23.37608
