,WS_ms_Avg
1965,4.502
1969,7.978
1973,1.473
1977,2.518
1981,2.665
1985,2.878
1989,1.217
1993,2.462
1997,0.93
2001,1.412
2005,2.926
2009,2.24
2013,1.698
2017,1.096
2021,0.673
2025,2.503
2029,4.299
2033,4.314
2037,0.31
2041,1.952
2045,2.363
2049,3.329
2053,2.641
2057,2.021
2061,0.215
2065,0
2069,2.277
2073,3.643
2077,3.451
2081,3.459
2085,0.833
2089,1.948
2093,3.556
2097,3.965
2101,4.654
2105,4.384
2109,1.77
2113,3.101
2117,2.636
2121,3.07
2125,3.981
2129,3.462
2133,1.083
2137,3.412
2141,2.429
2145,3.155
2149,3.502
2153,3.318
2157,1.423
2161,1.759
2165,1.591
2169,1.925
2173,3.013
2177,4.292
2181,0.342
2185,1.718
2189,3.151
2193,4.014
2197,4.813
2201,4.802
2205,2.002
2209,3.15
2213,2.092
2217,2.619
2221,3.171
2225,2.762
2229,1.123
2233,2.968
2237,2.291
2241,2.372
2245,1.698
2249,3.584
2253,1.331
2257,2.018
2261,1.833
2265,4.409
2269,3.605
2273,3.597
2277,0.067
2281,2.117
2285,2.2
2289,3.801
2293,4.193
2297,4.848
2301,1.617
2305,4.497
2309,2.327
2313,2.39
2317,3.654
2321,4.42
2325,1.641
2329,4.842
2333,2.275
2337,4.095
2341,2.323
2345,3.092
2349,8.95
2353,9.84
2357,7.287
2361,7.415
2365,7.771
2369,4.733
2373,1.376
2377,3.573
2381,2.586
2385,1.066
2389,4.332
2393,4.453
2397,3.744
2401,2.914
2405,3.325
2409,3.423
2413,2.596
2417,3.215
2421,1.787
2425,3.655
2429,4.17
2433,4.065
2437,3.886
2441,3.097
2445,3.194
2449,2.249
2453,3.169
2457,3.685
2461,5.036
2465,4.798
2469,1.141
2473,2.947
2477,2.278
2481,3.467
2485,4.731
2489,4.483
2493,0.362
2497,2.935
2501,2.654
2505,3.401
2509,4.055
2513,4.226
2517,1.39
2521,6.432
2525,5.415
2529,3.783
2533,2.748
2537,5.651
2541,5.981
2545,9.68
2549,9.53
2553,10.48
2557,10.62
2561,8.31
2565,12.52
2569,10.72
2573,9.69
2577,5.013
2581,9.12
2585,8.26
2589,13.03
2593,8.84
2597,5.604
2601,7.591
2605,9.43
2609,8.17
2613,8.85
2617,8.42
2621,6.346
2625,6.809
2629,5.398
2633,3.264
2637,5.285
2641,6.634
2645,2.286
2649,3.236
2653,4.522
2657,4.693
2661,5.982
2665,5.801
2669,2.819
2673,5.504
2677,5.522
2681,7.145
2685,1.322
2689,4.314
2693,5.145
2697,6.754
2701,7.511
2705,9.74
2709,4.467
2713,4.314
2717,4.392
2721,5.26
2725,6.343
2729,7.048
2733,8.63
2737,9.09
2741,8.52
2745,6.463
2749,7.01
2753,7.09
2757,5.732
2761,4.208
2765,2.815
2769,3.827
2773,4.266
2777,5.751
2781,5.453
2785,6.355
2789,6.333
2793,4.237
2797,3.711
2801,5.23
2805,1.67
2809,2.981
2813,1.007
2817,2.516
2821,3.873
2825,2.68
2829,2.82
2833,3.443
2837,2.367
2841,3.269
2845,4.941
2849,3.765
2853,6.719
2857,7.406
2861,8.4
2865,4.682
2869,4.606
2873,4.134
2877,3.965
2881,2.626
2885,3.068
2889,4.597
2893,5.675
2897,6.211
2901,4.479
2905,4.455
2909,2.11
2913,3.569
2917,4.414
2921,4.658
2925,3.856
2929,1.883
2933,2.462
2937,3.574
2941,3.675
2945,2.934
2949,4.096
2953,2.307
2957,1.438
2961,3.985
2965,4.339
2969,2.594
2973,0.872
2977,2.162
2981,2.556
2985,3.886
2989,5.826
2993,4.62
2997,1.421
3001,2.514
3005,3.605
3009,0.863
3013,2.612
3017,4.242
3021,3.2
3025,2.069
3029,1.708
3033,3.556
3037,4.8
3041,1.483
3045,2.22
3049,9.98
3053,8.4
3057,4.23
3061,4.519
3065,5.712
3069,7.656
3073,8.27
3077,8.07
3081,6.308
3085,4.813
3089,3.119
3093,6.634
3097,7.936
3101,8.43
3105,7.692
3109,6.39
3113,6.131
3117,8.33
3121,7.938
3125,8.13
3129,7.007
3133,4.993
3137,6.704
3141,3.632
3145,5.691
3149,6.327
3153,7.151
3157,7.09
3161,8.36
3165,8.02
3169,8.81
3173,9.52
3177,8.33
3181,7.937
3185,7.018
3189,6.202
3193,7.098
3197,6.43
3201,5.535
3205,7.081
3209,6.451
3213,5.835
3217,6.296
3221,6.265
3225,7.022
3229,6.288
3233,7.231
3237,6.72
3241,7.435
3245,7.073
3249,6.498
3253,8.64
3257,9.25
3261,8.44
3265,8.23
3269,7.565
3273,6.382
3277,4.293
3281,7.299
3285,7.28
3289,6.477
3293,6.703
3297,5.938
3301,7.07
3305,5.903
3309,7.801
3313,6.069
3317,5.578
3321,6.012
3325,6.401
3329,6.533
3333,6.136
3337,6.433
3341,6.651
3345,5.825
3349,4.558
3353,3.837
3357,3.721
3361,5.857
3365,5.403
3369,4.755
3373,4.172
3377,4.932
3381,4.96
3385,4.035
3389,4.349
3393,4.808
3397,3.583
3401,3.529
3405,4.057
3409,2.955
3413,4.308
3417,1.918
3421,0.453
3425,1.052
3429,1.535
3433,3.118
3437,2.108
3441,4.871
3445,1.725
3449,2.152
3453,2.574
3457,1.741
3461,1.402
3465,4.347
3469,2.667
3473,3.104
3477,4.345
3481,4.25
3485,3.636
3489,3.298
3493,1.631
3497,3.178
3501,4.177
3505,4.173
3509,0.919
3513,6.9
3517,6.722
3521,6.166
3525,6.092
3529,6.333
3533,8.31
3537,6.267
3541,4.432
3545,6.43
3549,7.937
3553,9.13
3557,9.27
3561,9.26
3565,5.707
3569,4.477
3573,9.14
3577,8.18
3581,8.64
3585,2.664
3589,3.269
3593,1.737
3597,3.884
3601,3.077
3605,1.376
3609,4.379
3613,1.35
3617,4.865
3621,6.191
3625,6.122
3629,6.712
3633,6.792
3637,4.278
3641,4.823
3645,5.796
3649,5.261
3653,4.726
3657,6.165
3661,5.313
3665,1.464
3669,2.16
3673,4.113
3677,0.746
3681,5.022
3685,3.212
3689,2.166
3693,3.549
3697,3.518
3701,0.954
3705,3.166
3709,2.392
3713,2.801
3717,3.226
3721,2.522
3725,0.879
3729,4.324
3733,1.386
3737,1.725
3741,1.116
3745,3.313
3749,2.389
3753,3.158
3757,3.993
3761,1.391
3765,1.695
3769,2.894
3773,1.667
3777,4.71
3781,3
3785,1.505
3789,1.977
3793,4.031
3797,3.603
3801,3.073
3805,8.84
3809,3.934
3813,2.704
3817,4.709
3821,1.568
3825,2.162
3829,7.941
3833,2.744
3837,3.365
3841,3.082
3845,1.946
3849,5.084
3853,5.136
3857,8.57
3861,2.848
3865,3.295
3869,2.263
3873,3.361
3877,4.572
3881,1.006
3885,2.767
3889,1.739
3893,3.478
3897,4.02
3901,9.62
3905,3.821
3909,3.944
3913,5.586
3917,5.756
3921,3.998
3925,4.735
3929,2.576
3933,2.907
3937,2.541
3941,4.663
