,Vapor_Pressure_Avg,,,,
298,1.84911,,,793,1.108466
299,1.844416,,,797,0.7977061
300,1.833125,,,801,0.8065907
301,1.798871,,,805,0.9203477
302,1.776961,,,809,0.9348078
303,1.743632,,,813,0.7395076
304,1.717945,,,817,1.366426
305,1.719312,,,821,1.643921
306,1.719228,,,825,1.469623
307,1.777254,,,829,1.427149
308,1.872168,,,833,1.345316
309,1.875478,,,837,1.700519
310,1.91222,,,841,1.8479
311,1.935266,,,845,1.864794
312,1.939863,,,849,1.709617
313,1.932909,,,853,1.371418
314,1.963599,,,857,1.197437
315,1.949605,,,861,1.49759
316,1.991546,,,865,1.887164
317,2.004413,,,869,1.943231
318,2.013422,,,873,1.687213
319,2.025229,,,877,1.565987
320,1.928709,,,881,1.455029
321,1.906921,,,885,1.881325
322,1.890897,,,889,1.941432
323,1.879561,,,893,1.969569
324,1.852245,,,897,1.6123
325,1.761757,,,901,1.447683
326,1.727084,,,905,1.357776
327,1.713189,,,909,1.506208
328,1.64698,,,913,2.074474
329,1.627093,,,917,1.608137
330,1.613531,,,921,1.693783
331,1.627732,,,925,1.445253
332,1.657893,,,929,1.472589
333,1.688971,,,933,1.65153
334,1.694801,,,937,1.763861
335,1.798291,,,941,1.660652
336,1.885121,,,945,1.493132
337,1.982283,,,949,1.606726
338,2.014279,,,953,1.567002
339,2.042057,,,957,1.681194
340,2.001279,,,961,2.102779
341,2.094196,,,965,2.193766
342,2.08141,,,969,2.167288
343,2.062325,,,973,2.044089
344,1.982167,,,977,1.92296
345,1.968739,,,981,1.801937
346,1.993739,,,985,1.853029
347,1.870865,,,989,1.969709
348,1.722688,,,993,2.048503
349,1.733535,,,997,1.980566
350,1.740277,,,1001,1.813172
351,1.678048,,,1005,2.055678
352,1.636557,,,1009,1.96751
353,1.563325,,,1013,2.015587
354,1.541781,,,1017,1.814951
355,1.582819,,,1021,1.777588
356,1.626668,,,1025,1.620478
357,1.669689,,,1029,1.890196
358,1.731532,,,1033,1.914488
359,1.785541,,,1037,1.929018
360,1.864963,,,1041,1.814595
361,1.937791,,,1045,1.581395
362,1.985416,,,1049,1.530069
363,2.007853,,,1053,1.722072
364,2.040117,,,1057,1.844669
365,2.060841,,,1061,1.671922
366,2.068945,,,1065,1.805134
367,2.054081,,,1069,1.905898
368,1.973719,,,1073,1.959094
369,1.930741,,,1077,1.742847
370,1.901102,,,1081,1.713314
371,1.873731,,,1085,1.292034
372,1.8531,,,1089,1.677157
373,1.813379,,,1093,1.634091
374,1.7543,,,1097,1.564893
375,1.702069,,,1101,1.791017
376,1.626183,,,1105,1.671216
377,1.653089,,,1109,1.59569
378,1.709764,,,1113,1.547987
379,1.716193,,,1117,1.649032
380,1.797921,,,1121,1.466644
381,2.025424,,,1125,1.41634
382,2.108331,,,1129,1.427651
383,2.073078,,,1133,1.145392
384,2.03178,,,1137,1.007339
385,2.035651,,,1141,0.9057478
386,2.086638,,,1145,0.9114187
387,1.945711,,,1149,0.8614678
388,2.059036,,,1153,0.7909641
389,1.986425,,,1157,0.8479803
390,2.097559,,,1161,0.8504012
391,2.064915,,,1165,0.9232293
392,2.093219,,,1169,0.9307523
393,2.1123,,,1173,1.077558
394,1.933986,,,1177,1.373139
395,1.87414,,,1181,1.510732
396,1.796428,,,1185,1.183045
397,1.711772,,,1189,1.145447
398,1.686655,,,1193,1.19145
399,1.595364,,,1197,1.580354
400,1.531216,,,1201,1.587811
401,1.539904,,,1205,1.539829
402,1.528483,,,1209,1.046726
403,1.521742,,,1213,0.936988
404,1.563303,,,1217,0.9043071
405,1.651847,,,1221,0.8935441
406,1.685249,,,1225,1.266523
407,1.551057,,,1229,1.192505
408,1.745469,,,1233,1.310377
409,1.94538,,,1237,1.386762
410,1.883117,,,1241,1.567058
411,2.023385,,,1245,1.467478
412,2.069099,,,1249,1.563584
413,2.178524,,,1253,1.513877
414,2.285573,,,1257,1.452543
415,2.149501,,,1261,1.557317
416,2.297104,,,1265,1.353122
417,2.317993,,,1269,1.800259
418,2.293704,,,1273,1.801454
419,2.088443,,,1277,1.736608
420,1.984963,,,1281,1.560608
421,1.851262,,,1285,1.414094
422,1.740734,,,1289,1.39227
423,1.687581,,,1293,1.476425
424,1.64106,,,1297,1.352147
425,1.562328,,,1301,1.056099
426,1.572829,,,1305,0.9393997
427,1.590722,,,1309,0.9205024
428,1.618995,,,1313,0.9290112
429,1.660062,,,1317,0.9377868
430,1.694735,,,1321,1.308832
431,1.847552,,,1325,1.20613
432,1.899641,,,1329,1.15185
433,2.389712,,,1333,1.141952
434,2.377673,,,1337,1.065533
435,2.184433,,,1341,1.371122
436,2.201211,,,1345,1.442991
437,2.342334,,,1349,1.405084
438,2.453742,,,1353,1.260994
439,2.442448,,,1357,1.188545
440,2.491935,,,1361,1.082424
441,2.499515,,,1365,0.8795297
442,2.499158,,,1369,0.8181057
443,2.41558,,,1373,0.8840171
444,2.391117,,,1377,0.8487856
445,2.405437,,,1381,0.8322312
446,2.278145,,,1385,0.8487018
447,2.088153,,,1389,0.9075977
448,2.029523,,,1393,1.15441
449,1.947995,,,1397,0.9941445
450,1.939301,,,1401,0.9173979
451,2.126262,,,1405,0.9049977
452,2.049328,,,1409,0.9172128
453,2.274986,,,1413,1.078241
454,2.351073,,,1417,1.333546
455,2.391903,,,1421,1.431453
456,2.428348,,,1425,1.19368
457,2.405066,,,1429,1.214537
458,2.495997,,,1433,1.179129
459,2.515109,,,1437,1.305679
460,2.546294,,,1441,1.309342
461,2.543087,,,1445,1.211538
462,2.516919,,,1449,1.241706
463,2.504163,,,1453,1.332165
464,2.498857,,,1457,1.321627
465,2.541036,,,1461,1.327673
466,2.497444,,,1465,1.264943
467,2.499289,,,1469,1.153016
468,2.483499,,,1473,1.078478
469,2.478447,,,1477,1.044444
470,2.476341,,,1481,1.080812
471,2.452032,,,1485,1.09893
472,2.380508,,,1489,1.262468
473,2.299245,,,1493,1.289747
474,2.243249,,,1497,1.270339
475,2.179406,,,1501,1.280755
476,2.260778,,,1505,1.188027
477,2.271033,,,1509,1.421183
478,2.388782,,,1513,1.541229
479,2.463057,,,1517,1.547715
480,2.46049,,,1521,1.312443
481,2.483555,,,1525,1.456037
482,2.507318,,,1529,1.432948
483,2.530458,,,1533,1.540665
484,2.532806,,,1537,1.589776
485,2.533938,,,1541,1.604309
486,2.544541,,,1545,1.604552
487,2.544371,,,1549,1.542012
488,2.55163,,,1553,1.531508
489,2.529053,,,1557,1.567416
490,2.567329,,,1561,1.624039
491,2.516924,,,1565,1.579733
492,2.444016,,,1569,1.565556
493,2.450916,,,1573,1.560992
494,2.44646,,,1577,1.515039
495,2.391376,,,1581,1.605434
496,2.332165,,,1585,1.597251
497,2.288163,,,1589,1.573111
498,2.268669,,,1593,1.532599
499,2.245421,,,1597,1.439023
500,2.280226,,,1601,1.437842
501,2.302367,,,1605,1.574102
502,2.343982,,,1609,1.560676
503,2.350821,,,1613,1.637679
504,2.349178,,,1617,1.54029
505,2.403291,,,1621,1.485195
506,2.419799,,,1625,1.485419
507,2.429757,,,1629,1.558306
508,2.458513,,,1633,1.364209
509,2.479728,,,1637,1.371318
510,2.466459,,,1641,1.549461
511,2.435474,,,1645,1.345075
512,2.439498,,,1649,1.31844
513,2.424979,,,1653,1.305623
514,2.449545,,,1657,1.296794
515,2.453025,,,1661,1.144246
516,2.429328,,,1665,1.154086
517,2.396565,,,1669,1.173805
518,2.337531,,,1673,1.3891
519,2.316967,,,1677,1.489299
520,2.304423,,,1681,1.53239
521,2.28664,,,1685,1.563364
522,2.314409,,,1689,1.556164
523,2.398495,,,1693,1.47036
524,2.447898,,,1697,1.366358
525,2.35098,,,1701,1.49779
526,2.410695,,,1705,1.648754
527,2.475195,,,1709,1.586242
528,2.417151,,,1713,1.666526
529,2.410245,,,1717,1.649752
530,2.414525,,,1721,1.600484
531,2.395891,,,1725,1.722802
532,2.407652,,,1729,1.799322
533,2.399812,,,1733,1.802954
534,2.423688,,,1737,1.641275
535,2.434272,,,1741,1.437016
536,2.446139,,,1745,1.617232
537,2.452791,,,1749,1.791368
538,2.479364,,,1753,1.764115
539,2.441849,,,1757,1.725336
540,2.413729,,,1761,1.620072
541,2.456077,,,1765,1.336721
542,2.439957,,,1769,1.477961
543,2.404697,,,1773,1.459869
544,2.384882,,,1777,1.446468
545,2.332525,,,1781,1.415263
546,2.319168,,,1785,1.182795
547,2.352206,,,1789,1.144688
548,2.375255,,,1793,1.125849
549,2.318218,,,1797,1.209866
550,2.296686,,,1801,1.234922
551,2.292141,,,1805,1.428502
552,2.271065,,,1809,1.261359
553,2.270247,,,1813,1.146674
554,2.225804,,,1817,1.133915
555,2.282794,,,1821,1.289528
556,2.232832,,,1825,1.484815
557,2.246454,,,1829,1.551986
558,2.148885,,,1833,1.3447
559,2.12554,,,1837,1.242356
560,2.238358,,,1841,1.253125
561,2.305212,,,1845,1.491524
562,2.22661,,,1849,1.496854
563,2.283063,,,1853,1.504159
564,2.262061,,,1857,1.387625
565,2.239142,,,1861,1.362532
566,2.284194,,,1865,1.304055
567,2.309614,,,1869,1.52593
568,2.304289,,,1873,1.602173
569,2.293824,,,1877,1.516688
570,2.269868,,,1881,1.32687
571,2.270571,,,1885,1.255649
572,2.235896,,,1889,1.210158
573,2.287542,,,1893,1.382544
574,2.336978,,,1897,1.459684
575,2.36481,,,1901,1.513666
576,2.344963,,,1905,1.442105
577,2.41708,,,1909,1.334886
578,2.453641,,,1913,1.193936
579,2.4295,,,1917,1.339677
580,2.47583,,,1921,1.495875
581,2.433769,,,1925,1.378416
582,2.355832,,,1929,1.248576
583,2.354048,,,1933,1.228033
584,2.484368,,,1937,1.25894
585,2.52222,,,1941,1.352539
586,2.361648,,,1945,1.422621
587,2.330419,,,1949,1.347523
588,2.330077,,,1953,1.276854
589,2.436685,,,1957,1.34699
590,2.423487,,,1961,1.237902
591,2.326829,,,1965,1.341742
592,2.190509,,,1969,1.659995
593,2.067738,,,1973,1.600134
