,SDI_Temp_1m,,,SDI_Temp_1m
345,22.88,,981,20.51
346,22.65,,985,20.35
347,22.69,,989,20.15
348,22.58,,993,20.07
349,22.53,,997,19.92
350,22.61,,1001,19.88
351,22.3,,1005,20.07
352,22.2,,1009,20.09
353,22.07,,1013,20.04
354,21.93,,1017,20.06
355,22.06,,1021,19.82
356,22.06,,1025,19.81
357,22.26,,1029,20.22
358,23.41,,1033,19.93
359,33.02,,1037,19.87
360,28.22,,1041,19.81
361,28.7,,1045,19.96
362,30.56,,1049,19.73
363,26.46,,1053,20.09
364,22.46,,1057,19.99
365,20.83,,1061,19.93
366,20.34,,1065,19.84
367,19.89,,1069,19.72
368,19.09,,1073,19.8
369,18.51,,1077,19.83
370,18.13,,1081,19.88
371,17.82,,1085,19.71
372,17.47,,1089,19.82
373,17.2,,1093,19.78
374,16.8,,1097,19.72
375,16.44,,1101,20.12
376,15.94,,1105,20.09
377,17.67,,1109,19.92
378,22.41,,1113,19.96
379,22.54,,1117,19.81
380,22.63,,1121,19.68
381,22.81,,1125,19.69
382,22.86,,1129,19.58
383,23.06,,1133,19.46
384,23.39,,1137,19.23
385,23.34,,1141,18.98
386,23.38,,1145,18.8
387,23.49,,1149,18.88
388,23.72,,1153,18.81
389,23.72,,1157,18.44
390,23.46,,1161,18
391,23.21,,1165,17.79
392,23.09,,1169,17.83
393,23.23,,1173,17.85
394,23.03,,1177,17.9
395,23.09,,1181,17.84
396,22.79,,1185,17.69
397,22.92,,1189,17.56
398,22.81,,1193,17.61
399,22.8,,1197,17.67
400,22.84,,1201,17.62
401,22.79,,1205,17.55
402,22.75,,1209,17.39
403,22.78,,1213,17.35
404,22.81,,1217,17.23
405,22.92,,1221,17.38
406,23.02,,1225,17.4
407,23.16,,1229,17.26
408,23.33,,1233,17.19
409,23.13,,1237,17.14
410,23.4,,1241,17.12
411,23.3,,1245,17.24
412,23.28,,1249,17.27
413,23.31,,1253,17.24
414,23.11,,1257,17.34
415,23.19,,1261,17.18
416,23.05,,1265,17.13
417,23,,1269,17.81
418,22.97,,1273,17.73
419,22.97,,1277,17.48
420,22.97,,1281,17.39
421,22.88,,1285,17.28
422,22.97,,1289,17.21
423,22.83,,1293,17.43
424,22.72,,1297,17.51
425,22.79,,1301,17.32
426,22.79,,1305,17.11
427,22.76,,1309,16.95
428,22.83,,1313,16.87
429,22.82,,1317,17.39
430,22.86,,1321,17.04
431,22.89,,1325,16.94
432,23.04,,1329,16.92
433,23.32,,1333,16.73
434,23.43,,1337,16.59
435,23.39,,1341,16.93
436,23.2,,1345,16.86
437,23.18,,1349,16.69
438,23.06,,1353,16.71
439,22.98,,1357,16.58
440,23.09,,1361,16.43
441,22.82,,1365,16.64
442,22.75,,1369,16.52
443,22.86,,1373,16.39
444,22.85,,1377,16.18
445,22.85,,1381,16.07
446,22.86,,1385,15.93
447,22.8,,1389,16.1
448,22.76,,1393,16.05
449,22.72,,1397,15.95
450,22.73,,1401,15.81
451,22.83,,1405,15.68
452,22.88,,1409,15.48
453,22.94,,1413,15.94
454,23.01,,1417,15.63
455,23.04,,1421,15.66
456,23.23,,1425,15.53
457,23.32,,1429,15.38
458,23.33,,1433,15.38
459,23.25,,1437,15.38
460,23.36,,1441,15.44
461,23.38,,1445,15.24
462,23.16,,1449,15.16
463,23.22,,1453,15.01
464,23.24,,1457,15
465,23.17,,1461,15.05
466,23.13,,1465,15.01
467,23.11,,1469,15.12
468,23.06,,1473,14.96
469,23.13,,1477,14.81
470,22.99,,1481,14.9
471,22.93,,1485,15.37
472,22.98,,1489,15.28
473,22.91,,1493,15.01
474,22.94,,1497,14.87
475,22.78,,1501,14.8
476,22.96,,1505,14.8
477,22.9,,1509,14.98
478,22.94,,1513,15.24
479,22.95,,1517,15.03
480,23.01,,1521,14.72
481,23.1,,1525,14.67
482,23.21,,1529,14.79
483,23.18,,1533,14.96
484,23.07,,1537,15.05
485,22.99,,1541,15.14
486,23.18,,1545,14.94
487,23.02,,1549,15.06
488,22.98,,1553,15.02
489,22.94,,1557,15.14
490,23.03,,1561,15.19
491,23.08,,1565,15.07
492,23.29,,1569,14.98
493,23.06,,1573,14.92
494,23.1,,1577,14.94
495,23.05,,1581,15.17
496,23.2,,1585,15.34
497,23.24,,1589,15.24
498,23.17,,1593,15.15
499,23.14,,1597,15.02
500,23.15,,1601,15.06
501,23.24,,1605,15.21
502,23.29,,1609,15.42
503,23.49,,1613,15.21
504,23.79,,1617,15.09
505,23.89,,1621,15.13
506,23.9,,1625,15.1
507,23.78,,1629,15.27
508,23.63,,1633,15.31
509,23.63,,1637,15.35
510,23.61,,1641,15.21
511,23.65,,1645,15.28
512,23.56,,1649,15.2
513,23.61,,1653,15.39
514,23.46,,1657,15.65
515,23.42,,1661,15.28
516,23.36,,1665,15.22
517,23.43,,1669,15.19
518,23.39,,1673,15.21
519,23.31,,1677,15.17
520,23.31,,1681,15.22
521,23.32,,1685,15.18
522,23.26,,1689,15.2
523,23.26,,1693,15.19
524,23.35,,1697,15.21
525,23.38,,1701,15.44
526,23.51,,1705,15.45
527,23.46,,1709,15.23
528,23.54,,1713,15.31
529,23.76,,1717,15.3
530,23.8,,1721,15.42
531,23.66,,1725,15.38
532,23.36,,1729,15.45
533,23.62,,1733,15.62
534,23.5,,1737,15.49
535,23.49,,1741,15.59
536,23.5,,1745,15.54
537,23.26,,1749,15.63
538,23.46,,1753,15.72
539,23.3,,1757,15.61
540,23.36,,1761,15.64
541,23.34,,1765,15.63
542,23.28,,1769,15.53
543,23.3,,1773,15.65
544,23.25,,1777,15.57
545,23.28,,1781,15.57
546,23.22,,1785,15.52
547,23.27,,1789,15.5
548,23.32,,1793,15.38
549,23.43,,1797,15.52
550,23.43,,1801,15.48
551,23.52,,1805,15.37
552,23.51,,1809,15.3
553,23.59,,1813,15.06
554,23.65,,1817,14.94
555,23.55,,1821,15.28
556,23.47,,1825,15.38
557,23.5,,1829,15.25
558,23.52,,1833,15.12
559,23.38,,1837,15.03
560,23.41,,1841,15.03
561,23.24,,1845,15.58
562,23.32,,1849,15.46
563,23.35,,1853,15.23
564,23.32,,1857,15.26
565,23.28,,1861,15.19
566,23.31,,1865,15.24
567,23.35,,1869,15.39
568,23.39,,1873,15.34
569,23.36,,1877,15.26
570,23.38,,1881,15.21
571,23.38,,1885,15.08
572,23.31,,1889,15.11
573,23.36,,1893,15.27
574,23.32,,1897,15.31
575,23.46,,1901,15.25
576,23.73,,1905,15.23
577,23.54,,1909,15.14
578,23.58,,1913,15.01
579,23.63,,1917,15.32
580,23.47,,1921,15.44
581,23.34,,1925,15.14
582,23.43,,1929,15.15
583,23.48,,1933,15.03
584,23.44,,1937,14.98
585,23.46,,1941,15.28
586,23.34,,1945,15.21
587,23.43,,1949,15.14
588,23.37,,1953,15.11
589,23.48,,1957,15.01
590,23.39,,1961,14.9
591,23.27,,1965,15.32
592,23.23,,1969,15.17
593,23.27,,1973,15.11
594,23.3,,1977,15.04
595,23.27,,1981,15.03
596,23.22,,1985,14.94
597,23.32,,1989,15.19
598,23.63,,1993,15.35
599,23.61,,1997,15.19
600,24.03,,2001,15.19
601,23.94,,2005,15.07
602,23.87,,2009,15.05
603,23.74,,2013,15.29
604,23.68,,2017,15.44
605,23.56,,2021,15.49
606,23.54,,2025,15.34
607,23.64,,2029,15.42
608,23.52,,2033,15.07
609,23.52,,2037,15.4
610,23.51,,2041,15.54
611,23.42,,2045,15.15
612,23.56,,2049,15.14
613,23.47,,2053,14.99
614,23.33,,2057,14.96
615,23.43,,2061,15.19
616,23.51,,2065,15.26
617,23.42,,2069,15.26
618,23.44,,2073,14.96
619,23.39,,2077,14.9
620,23.41,,2081,14.84
621,23.65,,2085,15.04
622,23.68,,2089,15.21
623,23.94,,2093,14.93
624,24.12,,2097,14.78
625,24.16,,2101,14.74
626,24,,2105,14.61
627,23.85,,2109,14.86
628,23.89,,2113,14.78
629,23.84,,2117,14.64
630,23.87,,2121,14.67
631,23.74,,2125,14.54
632,23.75,,2129,14.51
633,23.69,,2133,14.79
634,23.82,,2137,15.02
635,23.65,,2141,14.79
636,23.64,,2145,14.69
637,23.68,,2149,14.6
638,23.61,,2153,14.51
639,23.6,,2157,14.74
640,23.61,,2161,14.78
641,23.53,,2165,14.61
642,23.43,,2169,14.52
643,23.46,,2173,14.35
644,23.56,,2177,14.31
645,23.5,,2181,14.48
646,23.54,,2185,14.49
647,23.8,,2189,14.23
648,23.93,,2193,14.15
649,24.1,,2197,14.06
650,24.08,,2201,14.17
651,23.86,,2205,14.23
652,23.86,,2209,14.45
653,23.81,,2213,14.21
654,23.64,,2217,14.11
655,23.66,,2221,14.13
656,23.62,,2225,14.05
657,23.66,,2229,14.34
658,23.67,,2233,14.57
659,23.5,,2237,14.29
660,23.5,,2241,14.19
661,23.57,,2245,14.11
662,23.5,,2249,14.17
663,23.46,,2253,14.32
664,23.49,,2257,14.65
665,23.32,,2261,14.32
666,23.36,,2265,14.19
667,23.44,,2269,14.18
668,23.36,,2273,14.21
669,23.24,,2277,14.48
670,23.48,,2281,14.68
671,23.59,,2285,14.36
672,23.54,,2289,14.16
673,23.55,,2293,14.09
674,24.02,,2297,14.04
675,23.93,,2301,14.33
676,24.03,,2305,14.38
677,23.94,,2309,14.18
678,23.85,,2313,14.09
679,23.68,,2317,13.94
680,23.69,,2321,14
681,23.48,,2325,14.22
682,23.45,,2329,14.28
683,23.42,,2333,14.04
684,23.46,,2337,13.99
685,23.46,,2341,13.96
686,23.28,,2345,13.92
687,23.26,,2349,14.03
688,23.08,,2353,14.04
689,23.07,,2357,14.02
690,23.17,,2361,14
691,23.04,,2365,13.88
692,23.13,,2369,13.84
693,23.19,,2373,14.36
694,23.48,,2377,14.81
695,23.45,,2381,14.31
696,23.55,,2385,14.16
697,23.57,,2389,14.11
698,23.57,,2393,14.16
699,23.49,,2397,14.52
700,23.54,,2401,14.51
701,23.42,,2405,14.52
702,23.34,,2409,14.31
703,23.24,,2413,14.22
704,23.2,,2417,14.19
705,23.17,,2421,14.58
706,23.3,,2425,14.78
707,23.19,,2429,14.35
708,23.07,,2433,14.3
709,23.27,,2437,14.34
710,23.01,,2441,14.28
711,23.02,,2445,14.54
712,22.96,,2449,14.68
713,22.94,,2453,14.47
714,22.97,,2457,14.36
715,22.94,,2461,14.26
716,22.88,,2465,14.19
717,23.11,,2469,14.48
718,23.29,,2473,14.49
719,23.26,,2477,14.43
720,23.44,,2481,14.23
721,23.54,,2485,14.07
722,23.47,,2489,13.98
723,23.34,,2493,14.19
724,23.33,,2497,14.12
725,23.3,,2501,14.11
726,23.18,,2505,13.92
727,23.18,,2509,13.99
728,23.21,,2513,13.93
729,23.15,,2517,14.2
730,23.28,,2521,14.15
731,23.05,,2525,14.07
732,23.14,,2529,13.94
733,23.06,,2533,13.96
734,23.12,,2537,13.88
735,22.91,,2541,14.04
736,22.96,,2545,14.17
737,22.97,,2549,14.01
738,23.07,,2553,13.88
739,22.96,,2557,13.83
740,22.99,,2561,13.79
741,23.04,,2565,13.94
742,23.14,,2569,13.99
743,23.15,,2573,13.88
744,23.2,,2577,13.78
745,23.27,,2581,13.66
