,SDI_Temp_1m,,,SDI_Temp_1m
1107,20.2,,4029,16.69
1108,20.09,,4033,16.54
1109,20.16,,4037,16.76
1110,20.07,,4041,16.91
1111,20.1,,4045,16.94
1112,20.04,,4049,16.84
1113,20.05,,4053,16.9
1114,19.92,,4057,16.65
1115,19.91,,4061,16.95
1116,20.06,,4065,17.45
1117,19.94,,4069,17.29
1118,19.87,,4073,17.26
1119,19.81,,4077,17.09
1120,19.82,,4081,16.98
1121,19.75,,4085,17.15
1122,19.86,,4089,17.41
1123,19.78,,4093,17.49
1124,19.81,,4097,17.26
1125,19.88,,4101,17.15
1126,20.01,,4105,17.13
1127,20.04,,4109,17.54
1128,20.22,,4113,17.74
1129,20.35,,4117,17.52
1130,20.12,,4121,17.5
1131,20.07,,4125,17.39
1132,19.93,,4129,17.29
1133,19.95,,4133,17.6
1134,19.99,,4137,17.85
1135,19.95,,4141,17.84
1136,19.87,,4145,17.8
1137,20.01,,4149,17.52
1138,20,,4153,17.57
1139,19.98,,4157,17.75
1140,19.81,,4161,18.01
1141,19.9,,4165,17.96
1142,19.9,,4169,18.01
1143,19.84,,4173,18.01
1144,19.96,,4177,17.77
1145,19.81,,4181,18.08
1146,19.81,,4185,18.49
1147,19.88,,4189,18.46
1148,19.73,,4193,18.35
1149,19.83,,4197,18.23
1150,19.86,,4201,18.19
1151,20.03,,4205,18.5
1152,20.09,,4209,18.84
1153,20.09,,4213,18.98
1154,20.1,,4217,18.9
1155,20,,4221,18.73
1156,19.99,,4225,18.55
1157,20.04,,4229,18.87
1158,19.92,,4233,18.94
1159,19.95,,4237,18.98
1160,19.93,,4241,18.75
1161,19.89,,4245,18.73
1162,19.87,,4249,18.57
1163,19.83,,4253,18.79
1164,19.84,,4257,19.2
1165,19.74,,4261,19
1166,19.95,,4265,18.87
1167,19.74,,4269,18.69
1168,19.72,,4273,18.66
1169,19.75,,4277,19.01
1170,19.79,,4281,19.23
1171,19.78,,4285,19.14
1172,19.8,,4289,18.92
1173,19.81,,4293,18.92
1174,19.94,,4297,18.87
1175,19.95,,4301,19.11
1176,19.83,,4305,19.4
1177,19.81,,4309,19.4
1178,19.88,,4313,19.32
1179,19.91,,4317,19.23
1180,19.88,,4321,19.23
1181,19.82,,4325,19.87
1182,19.83,,4329,19.93
1183,19.83,,4333,19.6
1184,19.71,,4337,19.65
1185,19.73,,4341,19.47
1186,19.79,,4345,19.33
1187,19.84,,4349,19.45
1188,19.82,,4353,19.72
1189,19.68,,4357,19.63
1190,19.68,,4361,19.45
1191,19.78,,4365,19.37
1192,19.78,,4369,19.11
1193,19.71,,4373,19.17
1194,19.76,,4377,19.57
1195,19.76,,4381,19.34
1196,19.72,,4385,19.24
1197,19.84,,4389,19.05
1198,20.01,,4393,18.79
1199,20.14,,4397,18.97
1200,20.12,,4401,19.27
1201,20.07,,4405,19.15
1202,20.05,,4409,19.12
1203,20.13,,4413,19.1
1204,20.09,,4417,18.82
1205,19.93,,4421,19.04
1206,19.93,,4425,19.35
1207,20.04,,4429,19.23
1208,19.92,,4433,18.99
1209,19.87,,4437,18.88
1210,19.87,,4441,18.75
1211,19.95,,4445,18.88
1212,19.96,,4449,19.07
1213,19.75,,4453,19.15
1214,19.73,,4457,18.98
1215,19.79,,4461,18.75
1216,19.81,,4465,18.6
1217,19.72,,4469,18.67
1218,19.62,,4473,19.05
1219,19.78,,4477,18.99
1220,19.68,,4481,18.66
1221,19.69,,4485,18.62
1222,19.64,,4489,18.49
1223,19.67,,4493,18.76
1224,19.69,,4497,19.09
1225,19.65,,4501,19.08
1226,19.58,,4505,18.94
1227,19.59,,4509,18.57
1228,19.58,,4513,18.61
1229,19.55,,4517,19.12
1230,19.49,,4521,19.32
1231,19.49,,4525,19.17
1232,19.46,,4529,19.03
1233,19.28,,4533,18.98
1234,19.25,,4537,18.9
1235,19.28,,4541,19.27
1236,19.23,,4545,19.37
1237,19.23,,4549,19.48
1238,19.07,,4553,19.38
1239,19.07,,,
1240,18.98,,,
1241,19,,,
1242,18.9,,,
1243,18.95,,,
1244,18.8,,,
1245,18.86,,,
1246,18.85,,,
1247,18.96,,,
1248,18.88,,,
1249,18.89,,,
1250,18.9,,,
1251,18.83,,,
1252,18.81,,,
1253,18.75,,,
1254,18.68,,,
1255,18.61,,,
1256,18.44,,,
1257,18.29,,,
1258,18.33,,,
1259,18.2,,,
1260,18,,,
1261,18.02,,,
1262,17.82,,,
1263,17.81,,,
1264,17.79,,,
1265,17.64,,,
1266,17.77,,,
1267,17.75,,,
1268,17.83,,,
1269,17.83,,,
1270,17.86,,,
1271,17.84,,,
1272,17.85,,,
1273,17.9,,,
1274,17.99,,,
1275,17.88,,,
1276,17.9,,,
1277,17.85,,,
1278,17.89,,,
1279,17.82,,,
1280,17.84,,,
1281,17.79,,,
1282,17.77,,,
1283,17.8,,,
1284,17.69,,,
1285,17.82,,,
1286,17.74,,,
1287,17.61,,,
1288,17.56,,,
1289,17.64,,,
1290,17.58,,,
1291,17.6,,,
1292,17.61,,,
1293,17.57,,,
1294,17.57,,,
1295,17.59,,,
1296,17.67,,,
1297,17.72,,,
1298,17.62,,,
1299,17.6,,,
1300,17.62,,,
1301,17.72,,,
1302,17.69,,,
1303,17.63,,,
1304,17.55,,,
1305,17.56,,,
1306,17.54,,,
1307,17.51,,,
1308,17.39,,,
1309,17.39,,,
1310,17.44,,,
1311,17.51,,,
1312,17.35,,,
1313,17.39,,,
1314,17.3,,,
1315,17.26,,,
1316,17.23,,,
1317,17.2,,,
1318,17.36,,,
1319,17.26,,,
1320,17.38,,,
1321,17.52,,,
1322,17.57,,,
1323,17.35,,,
1324,17.4,,,
1325,17.35,,,
1326,17.39,,,
1327,17.23,,,
1328,17.26,,,
1329,17.2,,,
1330,17.25,,,
1331,17.13,,,
1332,17.19,,,
1333,17.23,,,
1334,17.29,,,
1335,17.17,,,
1336,17.14,,,
1337,17.2,,,
1338,17.03,,,
1339,17.06,,,
1340,17.12,,,
1341,17.19,,,
1342,17.12,,,
1343,17.23,,,
1344,17.24,,,
1345,17.34,,,
1346,17.32,,,
1347,17.41,,,
1348,17.27,,,
1349,17.26,,,
1350,17.31,,,
1351,17.39,,,
1352,17.24,,,
1353,17.27,,,
1354,17.26,,,
1355,17.18,,,
1356,17.34,,,
1357,17.34,,,
1358,17.26,,,
1359,17.2,,,
1360,17.18,,,
1361,17.28,,,
1362,17.2,,,
1363,17.14,,,
1364,17.13,,,
1365,17.06,,,
1366,17.15,,,
1367,17.42,,,
1368,17.81,,,
1369,17.83,,,
1370,17.82,,,
1371,17.77,,,
1372,17.73,,,
1373,17.66,,,
1374,17.5,,,
1375,17.59,,,
1376,17.48,,,
1377,17.4,,,
1378,17.31,,,
1379,17.37,,,
1380,17.39,,,
1381,17.43,,,
1382,17.31,,,
1383,17.43,,,
1384,17.28,,,
1385,17.18,,,
1386,17.2,,,
1387,17.32,,,
1388,17.21,,,
1389,17.27,,,
1390,17.26,,,
1391,17.42,,,
1392,17.43,,,
1393,17.46,,,
1394,17.71,,,
1395,17.68,,,
1396,17.51,,,
1397,17.35,,,
1398,17.43,,,
1399,17.26,,,
1400,17.32,,,
1401,17.28,,,
1402,17.25,,,
1403,17.08,,,
1404,17.11,,,
1405,17.15,,,
1406,17.1,,,
1407,17.08,,,
1408,16.95,,,
1409,16.96,,,
1410,16.93,,,
1411,16.98,,,
1412,16.87,,,
1413,16.9,,,
1414,17.05,,,
1415,17.31,,,
1416,17.39,,,
1417,17.24,,,
1418,17.23,,,
1419,17.16,,,
1420,17.04,,,
1421,17.11,,,
1422,16.95,,,
1423,17.01,,,
1424,16.94,,,
1425,17.02,,,
1426,16.86,,,
1427,16.85,,,
1428,16.92,,,
1429,16.89,,,
1430,16.8,,,
1431,16.73,,,
1432,16.73,,,
1433,16.77,,,
1434,16.66,,,
1435,16.71,,,
1436,16.59,,,
1437,16.66,,,
1438,16.77,,,
1439,16.88,,,
1440,16.93,,,
1441,17.06,,,
1442,17.01,,,
1443,16.93,,,
1444,16.86,,,
1445,16.84,,,
1446,16.82,,,
1447,16.73,,,
1448,16.69,,,
1449,16.64,,,
1450,16.64,,,
1451,16.66,,,
1452,16.71,,,
1453,16.57,,,
1454,16.48,,,
1455,16.61,,,
1456,16.58,,,
1457,16.53,,,
1458,16.48,,,
1459,16.5,,,
1460,16.43,,,
1461,16.41,,,
1462,16.45,,,
1463,16.5,,,
1464,16.64,,,
1465,16.54,,,
1466,16.58,,,
1467,16.57,,,
1468,16.52,,,
1469,16.45,,,
1470,16.48,,,
1471,16.43,,,
1472,16.39,,,
1473,16.24,,,
1474,16.29,,,
1475,16.21,,,
1476,16.18,,,
1477,16.2,,,
1478,16.17,,,
1479,16.16,,,
1480,16.07,,,
1481,16.05,,,
1482,16.02,,,
1483,16.05,,,
1484,15.93,,,
1485,16.01,,,
1486,16.08,,,
1487,15.98,,,
1488,16.1,,,
1489,16.07,,,
1490,16.08,,,
1491,16.12,,,
1492,16.05,,,
1493,16.02,,,
1494,15.95,,,
1495,15.99,,,
1496,15.95,,,
1497,15.9,,,
1498,15.94,,,
1499,15.81,,,
1500,15.81,,,
1501,15.86,,,
1502,15.69,,,
1503,15.68,,,
1504,15.68,,,
1505,15.59,,,
1506,15.56,,,
1507,15.52,,,
1508,15.48,,,
1509,15.57,,,
1510,15.64,,,
1511,15.85,,,
1512,15.94,,,
1513,15.99,,,
1514,15.84,,,
1515,15.73,,,
1516,15.63,,,
1517,15.61,,,
1518,15.66,,,
1519,15.58,,,
1520,15.66,,,
1521,15.6,,,
1522,15.61,,,
1523,15.61,,,
1524,15.53,,,
1525,15.5,,,
1526,15.5,,,
1527,15.44,,,
1528,15.38,,,
1529,15.4,,,
1530,15.25,,,
1531,15.36,,,
1532,15.38,,,
1533,15.25,,,
1534,15.37,,,
1535,15.52,,,
1536,15.38,,,
1537,15.46,,,
1538,15.43,,,
1539,15.42,,,
1540,15.44,,,
1541,15.4,,,
1542,15.29,,,
1543,15.13,,,
1544,15.24,,,
1545,15.32,,,
1546,15.08,,,
1547,15.19,,,
1548,15.16,,,
1549,15.09,,,
1550,15.07,,,
1551,15.01,,,
1552,15.01,,,
1553,15.01,,,
1554,15,,,
1555,15.02,,,
1556,15,,,
1557,15.06,,,
1558,15,,,
1559,15.06,,,
1560,15.05,,,
1561,15,,,
1562,15.04,,,
1563,15.04,,,
1564,15.01,,,
1565,15.15,,,
1566,15.08,,,
1567,15.07,,,
1568,15.12,,,
1569,15.06,,,
1570,14.99,,,
1571,14.99,,,
1572,14.96,,,
1573,14.93,,,
1574,14.87,,,
1575,14.89,,,
1576,14.81,,,
1577,14.89,,,
1578,14.83,,,
1579,14.82,,,
1580,14.9,,,
1581,14.99,,,
1582,15.23,,,
1583,15.29,,,
1584,15.37,,,
1585,15.32,,,
1586,15.41,,,
1587,15.32,,,
1588,15.28,,,
1589,15.15,,,
1590,15.07,,,
1591,14.91,,,
1592,15.01,,,
1593,15.04,,,
1594,15.04,,,
1595,14.86,,,
1596,14.87,,,
1597,14.93,,,
1598,14.85,,,
1599,14.81,,,
1600,14.8,,,
1601,14.82,,,
1602,14.74,,,
1603,14.67,,,
1604,14.8,,,
1605,14.81,,,
1606,14.87,,,
1607,14.9,,,
1608,14.98,,,
1609,15.22,,,
1610,15.28,,,
1611,15.3,,,
1612,15.24,,,
1613,15.23,,,
1614,15.11,,,
1615,15.16,,,
1616,15.03,,,
1617,15.05,,,
1618,15.01,,,
1619,14.91,,,
1620,14.72,,,
1621,14.84,,,
1622,14.82,,,
1623,14.75,,,
1624,14.67,,,
1625,14.83,,,
1626,14.83,,,
1627,14.71,,,
1628,14.79,,,
1629,14.83,,,
1630,14.87,,,
1631,14.87,,,
1632,14.96,,,
1633,15.05,,,
1634,15.08,,,
1635,15.09,,,
1636,15.05,,,
1637,15.07,,,
1638,14.94,,,
1639,15.01,,,
1640,15.14,,,
1641,15.05,,,
1642,15.01,,,
1643,15.09,,,
1644,14.94,,,
1645,15.05,,,
1646,15,,,
1647,15.02,,,
1648,15.06,,,
1649,14.94,,,
1650,15.08,,,
1651,15.09,,,
1652,15.02,,,
1653,14.98,,,
1654,15.12,,,
1655,15.06,,,
1656,15.14,,,
1657,15.29,,,
1658,15.31,,,
1659,15.15,,,
1660,15.19,,,
1661,15.29,,,
1662,15.1,,,
1663,15.06,,,
1664,15.07,,,
1665,15.08,,,
1666,15.05,,,
1667,14.96,,,
1668,14.98,,,
1669,14.95,,,
1670,14.91,,,
1671,14.91,,,
1672,14.92,,,
1673,14.86,,,
1674,14.8,,,
1675,14.92,,,
1676,14.94,,,
1677,14.99,,,
1678,14.95,,,
1679,15.08,,,
1680,15.17,,,
1681,15.18,,,
1682,15.49,,,
1683,15.31,,,
1684,15.34,,,
1685,15.23,,,
1686,15.13,,,
1687,15.24,,,
1688,15.24,,,
1689,15.16,,,
1690,15.18,,,
1691,15.1,,,
1692,15.15,,,
1693,15.07,,,
1694,15.1,,,
1695,14.96,,,
1696,15.02,,,
1697,15.16,,,
1698,15.03,,,
1699,14.99,,,
1700,15.06,,,
1701,15.12,,,
1702,15.21,,,
1703,15.2,,,
1704,15.21,,,
1705,15.37,,,
1706,15.45,,,
1707,15.42,,,
1708,15.42,,,
1709,15.24,,,
1710,15.22,,,
1711,15.18,,,
1712,15.21,,,
1713,15.2,,,
1714,15.2,,,
1715,15.15,,,
1716,15.09,,,
1717,15.13,,,
1718,15.11,,,
1719,15.03,,,
1720,15.13,,,
1721,15.1,,,
1722,15.11,,,
1723,15.1,,,
1724,15.1,,,
1725,15.13,,,
1726,15.24,,,
1727,15.19,,,
1728,15.27,,,
1729,15.39,,,
1730,15.38,,,
1731,15.39,,,
1732,15.31,,,
1733,15.38,,,
1734,15.44,,,
1735,15.42,,,
1736,15.35,,,
1737,15.32,,,
1738,15.26,,,
1739,15.31,,,
1740,15.21,,,
1741,15.24,,,
1742,15.21,,,
1743,15.19,,,
1744,15.28,,,
1745,15.17,,,
1746,15.3,,,
1747,15.17,,,
1748,15.2,,,
1749,15.21,,,
1750,15.36,,,
1751,15.31,,,
1752,15.39,,,
1753,15.48,,,
1754,15.81,,,
1755,15.71,,,
1756,15.65,,,
1757,15.45,,,
1758,15.49,,,
1759,15.39,,,
1760,15.28,,,
1761,15.28,,,
1762,15.2,,,
1763,15.23,,,
1764,15.22,,,
1765,15.32,,,
1766,15.24,,,
1767,15.2,,,
1768,15.19,,,
1769,15.17,,,
1770,15.18,,,
1771,15.22,,,
1772,15.21,,,
1773,15.22,,,
1774,15.13,,,
1775,15.19,,,
1776,15.17,,,
1777,15.13,,,
1778,15.18,,,
1779,15.21,,,
1780,15.22,,,
1781,15.16,,,
1782,15.09,,,
1783,15.13,,,
1784,15.18,,,
1785,15.22,,,
1786,15.19,,,
1787,15.14,,,
1788,15.2,,,
1789,15.25,,,
1790,15.14,,,
1791,15.26,,,
1792,15.19,,,
1793,15.26,,,
1794,15.21,,,
1795,15.27,,,
1796,15.21,,,
1797,15.19,,,
1798,15.26,,,
1799,15.38,,,
1800,15.44,,,
1801,15.36,,,
1802,15.58,,,
1803,15.49,,,
1804,15.45,,,
1805,15.41,,,
1806,15.4,,,
1807,15.35,,,
1808,15.23,,,
1809,15.32,,,
1810,15.41,,,
1811,15.39,,,
1812,15.31,,,
1813,15.42,,,
1814,15.37,,,
1815,15.39,,,
1816,15.3,,,
1817,15.29,,,
1818,15.27,,,
1819,15.32,,,
1820,15.42,,,
1821,15.36,,,
1822,15.4,,,
1823,15.49,,,
1824,15.38,,,
1825,15.49,,,
1826,15.41,,,
1827,15.51,,,
1828,15.45,,,
1829,15.65,,,
1830,15.51,,,
1831,15.55,,,
1832,15.62,,,
1833,15.44,,,
1834,15.64,,,
1835,15.59,,,
1836,15.49,,,
1837,15.52,,,
1838,15.6,,,
1839,15.58,,,
1840,15.59,,,
1841,15.54,,,
1842,15.59,,,
1843,15.54,,,
1844,15.54,,,
1845,15.59,,,
1846,15.59,,,
1847,15.66,,,
1848,15.63,,,
1849,15.67,,,
1850,15.69,,,
1851,15.62,,,
1852,15.72,,,
1853,15.58,,,
1854,15.64,,,
1855,15.67,,,
1856,15.61,,,
1857,15.7,,,
1858,15.58,,,
1859,15.58,,,
1860,15.64,,,
1861,15.58,,,
1862,15.53,,,
1863,15.59,,,
1864,15.63,,,
1865,15.57,,,
1866,15.59,,,
1867,15.57,,,
1868,15.53,,,
1869,15.5,,,
1870,15.62,,,
1871,15.58,,,
1872,15.65,,,
1873,15.69,,,
1874,15.75,,,
1875,15.69,,,
1876,15.57,,,
1877,15.68,,,
1878,15.5,,,
1879,15.56,,,
1880,15.57,,,
1881,15.57,,,
1882,15.53,,,
1883,15.59,,,
1884,15.52,,,
1885,15.44,,,
1886,15.45,,,
1887,15.43,,,
1888,15.5,,,
1889,15.39,,,
1890,15.48,,,
1891,15.4,,,
1892,15.38,,,
1893,15.33,,,
1894,15.59,,,
1895,15.57,,,
1896,15.52,,,
1897,15.63,,,
1898,15.53,,,
1899,15.49,,,
1900,15.48,,,
1901,15.54,,,
1902,15.43,,,
1903,15.4,,,
1904,15.37,,,
1905,15.41,,,
1906,15.43,,,
1907,15.48,,,
1908,15.3,,,
1909,15.26,,,
1910,15.36,,,
1911,15.15,,,
1912,15.06,,,
1913,15.03,,,
1914,15.07,,,
1915,14.99,,,
1916,14.94,,,
1917,15.08,,,
1918,15.1,,,
1919,15.2,,,
1920,15.28,,,
1921,15.29,,,
1922,15.61,,,
1923,15.44,,,
1924,15.38,,,
1925,15.36,,,
1926,15.3,,,
1927,15.26,,,
1928,15.25,,,
1929,15.28,,,
1930,15.17,,,
1931,15.15,,,
1932,15.12,,,
1933,15.1,,,
1934,15.1,,,
1935,15.1,,,
1936,15.03,,,
1937,15.01,,,
1938,15.02,,,
1939,15.05,,,
1940,15.03,,,
1941,15.1,,,
1942,15.18,,,
1943,15.32,,,
1944,15.58,,,
1945,15.53,,,
1946,15.85,,,
1947,15.67,,,
1948,15.46,,,
1949,15.36,,,
1950,15.34,,,
1951,15.28,,,
1952,15.23,,,
1953,15.24,,,
1954,15.31,,,
1955,15.24,,,
1956,15.26,,,
1957,15.21,,,
1958,15.21,,,
1959,15.24,,,
1960,15.19,,,
1961,15.28,,,
1962,15.22,,,
1963,15.11,,,
1964,15.24,,,
1965,15.21,,,
1966,15.3,,,
1967,15.33,,,
1968,15.39,,,
1969,15.36,,,
1970,15.4,,,
1971,15.35,,,
1972,15.34,,,
1973,15.27,,,
1974,15.3,,,
1975,15.29,,,
1976,15.26,,,
1977,15.25,,,
1978,15.14,,,
1979,15.23,,,
1980,15.21,,,
1981,15.23,,,
1982,15.15,,,
1983,15.13,,,
1984,15.08,,,
1985,15.13,,,
1986,15.06,,,
1987,15.11,,,
1988,15.11,,,
1989,15.09,,,
1990,15.21,,,
1991,15.29,,,
1992,15.27,,,
1993,15.31,,,
1994,15.34,,,
1995,15.29,,,
1996,15.31,,,
1997,15.27,,,
1998,15.28,,,
1999,15.31,,,
2000,15.25,,,
2001,15.21,,,
2002,15.22,,,
2003,15.2,,,
2004,15.23,,,
2005,15.08,,,
2006,15.15,,,
2007,15.17,,,
2008,15.14,,,
2009,15.14,,,
2010,15.1,,,
2011,15.08,,,
2012,15.01,,,
2013,15.07,,,
2014,15.06,,,
2015,15.18,,,
2016,15.32,,,
2017,15.45,,,
2018,15.51,,,
2019,15.42,,,
2020,15.44,,,
2021,15.24,,,
2022,15.24,,,
2023,15.21,,,
2024,15.14,,,
2025,15.15,,,
2026,15.19,,,
2027,15.05,,,
2028,15.15,,,
2029,15.05,,,
2030,15,,,
2031,15.14,,,
2032,15.03,,,
2033,15.02,,,
2034,15.03,,,
2035,15.1,,,
2036,14.98,,,
2037,15.01,,,
2038,15.1,,,
2039,15.19,,,
2040,15.28,,,
2041,15.24,,,
2042,15.3,,,
2043,15.28,,,
2044,15.21,,,
2045,15.22,,,
2046,15.15,,,
2047,15.2,,,
2048,15.14,,,
2049,15.08,,,
2050,15,,,
2051,15.05,,,
2052,15.11,,,
2053,15.01,,,
2054,15.02,,,
2055,14.93,,,
2056,15.01,,,
2057,14.9,,,
2058,14.87,,,
2059,14.92,,,
2060,14.9,,,
2061,14.95,,,
2062,15.09,,,
2063,15.24,,,
2064,15.32,,,
2065,15.23,,,
2066,15.17,,,
2067,15.21,,,
2068,15.17,,,
2069,15.07,,,
2070,15.1,,,
2071,15.21,,,
2072,15.11,,,
2073,15.13,,,
2074,15.08,,,
2075,15.12,,,
2076,15.04,,,
2077,15.04,,,
2078,15.04,,,
2079,14.94,,,
2080,15.03,,,
2081,14.91,,,
2082,14.88,,,
2083,14.91,,,
2084,14.94,,,
2085,15.01,,,
2086,15.13,,,
2087,15.18,,,
2088,15.19,,,
2089,15.25,,,
2090,15.32,,,
2091,15.44,,,
2092,15.35,,,
2093,15.29,,,
2094,15.22,,,
2095,15.22,,,
2096,15.19,,,
2097,15.12,,,
2098,15.19,,,
2099,15.03,,,
2100,15.19,,,
2101,15.06,,,
2102,15.09,,,
2103,15.11,,,
2104,15.07,,,
2105,15.01,,,
2106,15,,,
2107,15,,,
2108,15.05,,,
2109,15.1,,,
2110,15.15,,,
2111,15.32,,,
2112,15.29,,,
2113,15.55,,,
2114,15.69,,,
2115,15.67,,,
2116,15.44,,,
2117,15.49,,,
2118,15.51,,,
2119,15.5,,,
2120,15.49,,,
2121,15.45,,,
2122,15.39,,,
2123,15.34,,,
2124,15.34,,,
2125,15.31,,,
2126,15.27,,,
2127,15.31,,,
2128,15.42,,,
2129,15.08,,,
2130,15.14,,,
2131,15.08,,,
2132,15.07,,,
2133,15.18,,,
2134,15.3,,,
2135,15.33,,,
2136,15.4,,,
2137,15.6,,,
2138,15.47,,,
2139,15.62,,,
2140,15.54,,,
2141,15.46,,,
2142,15.37,,,
2143,15.39,,,
2144,15.15,,,
2145,15.07,,,
2146,15.18,,,
2147,15.42,,,
2148,15.14,,,
2149,15.14,,,
2150,15.09,,,
2151,15.06,,,
2152,14.99,,,
2153,15,,,
2154,14.93,,,
2155,14.98,,,
2156,14.96,,,
2157,15.02,,,
2158,15.11,,,
2159,15.22,,,
2160,15.19,,,
2161,15.24,,,
2162,15.3,,,
2163,15.26,,,
2164,15.26,,,
2165,15.26,,,
2166,15.41,,,
2167,15.43,,,
2168,15.26,,,
2169,15.05,,,
2170,15.09,,,
2171,15.04,,,
2172,14.96,,,
2173,14.95,,,
2174,15.07,,,
2175,14.84,,,
2176,14.9,,,
2177,14.88,,,
2178,14.85,,,
2179,14.9,,,
2180,14.84,,,
2181,14.85,,,
2182,14.88,,,
2183,14.97,,,
2184,15.04,,,
2185,15.17,,,
2186,15.14,,,
2187,15.13,,,
2188,15.21,,,
2189,15.13,,,
2190,15.07,,,
2191,15.02,,,
2192,14.93,,,
2193,14.88,,,
2194,14.87,,,
2195,14.83,,,
2196,14.78,,,
2197,14.8,,,
2198,14.77,,,
2199,14.73,,,
2200,14.74,,,
2201,14.7,,,
2202,14.66,,,
2203,14.62,,,
2204,14.61,,,
2205,14.7,,,
2206,14.74,,,
2207,14.95,,,
2208,14.86,,,
2209,14.85,,,
2210,14.81,,,
2211,14.86,,,
2212,14.78,,,
2213,14.7,,,
2214,14.7,,,
2215,14.64,,,
2216,14.64,,,
2217,14.62,,,
2218,14.62,,,
2219,14.64,,,
2220,14.67,,,
2221,14.53,,,
2222,14.53,,,
2223,14.6,,,
2224,14.54,,,
2225,14.58,,,
2226,14.63,,,
2227,14.49,,,
2228,14.51,,,
2229,14.64,,,
2230,14.52,,,
2231,14.83,,,
2232,14.79,,,
2233,15.06,,,
2234,15.1,,,
2235,14.98,,,
2236,15.02,,,
2237,14.93,,,
2238,14.81,,,
2239,14.78,,,
2240,14.79,,,
2241,14.79,,,
2242,14.7,,,
2243,14.74,,,
2244,14.69,,,
2245,14.76,,,
2246,14.7,,,
2247,14.76,,,
2248,14.6,,,
2249,14.52,,,
2250,14.59,,,
2251,14.57,,,
2252,14.51,,,
2253,14.57,,,
2254,14.7,,,
2255,14.63,,,
2256,14.74,,,
2257,14.91,,,
2258,14.99,,,
2259,14.83,,,
2260,14.78,,,
2261,14.75,,,
2262,14.69,,,
2263,14.56,,,
2264,14.61,,,
2265,14.6,,,
2266,14.52,,,
2267,14.52,,,
2268,14.52,,,
2269,14.5,,,
2270,14.5,,,
2271,14.5,,,
2272,14.35,,,
2273,14.36,,,
2274,14.26,,,
2275,14.31,,,
2276,14.31,,,
2277,14.27,,,
2278,14.28,,,
2279,14.34,,,
2280,14.48,,,
2281,14.41,,,
2282,14.53,,,
2283,14.56,,,
2284,14.49,,,
2285,14.39,,,
2286,14.31,,,
2287,14.33,,,
2288,14.23,,,
2289,14.26,,,
2290,14.23,,,
2291,14.18,,,
2292,14.15,,,
2293,14.02,,,
2294,14.09,,,
2295,14.12,,,
2296,14.06,,,
2297,14.09,,,
2298,14.13,,,
2299,14.14,,,
2300,14.17,,,
2301,14.3,,,
2302,14.25,,,
2303,14.24,,,
2304,14.23,,,
2305,14.52,,,
2306,14.79,,,
2307,14.61,,,
2308,14.45,,,
2309,14.45,,,
2310,14.43,,,
2311,14.33,,,
2312,14.21,,,
2313,14.27,,,
2314,14.23,,,
2315,14.22,,,
2316,14.11,,,
2317,14.12,,,
2318,14.08,,,
2319,14.05,,,
2320,14.13,,,
2321,14.08,,,
2322,14.03,,,
2323,14,,,
2324,14.05,,,
2325,14.07,,,
2326,14.1,,,
2327,14.26,,,
2328,14.34,,,
2329,14.48,,,
2330,14.41,,,
2331,14.8,,,
2332,14.57,,,
2333,14.37,,,
2334,14.35,,,
2335,14.33,,,
2336,14.29,,,
2337,14.26,,,
2338,14.23,,,
2339,14.24,,,
2340,14.19,,,
2341,14.16,,,
2342,14.04,,,
2343,14.14,,,
2344,14.11,,,
2345,14.13,,,
2346,14.06,,,
2347,14.02,,,
2348,14.17,,,
2349,14.21,,,
2350,14.22,,,
2351,14.33,,,
2352,14.32,,,
2353,14.58,,,
2354,14.78,,,
2355,14.78,,,
2356,14.65,,,
2357,14.47,,,
2358,14.48,,,
2359,14.38,,,
2360,14.32,,,
2361,14.22,,,
2362,14.18,,,
2363,14.26,,,
2364,14.19,,,
2365,14.21,,,
2366,14.23,,,
2367,14.2,,,
2368,14.18,,,
2369,14.16,,,
2370,14.14,,,
2371,14.2,,,
2372,14.21,,,
2373,14.2,,,
2374,14.35,,,
2375,14.5,,,
2376,14.48,,,
2377,14.44,,,
2378,14.59,,,
2379,14.95,,,
2380,14.68,,,
2381,14.56,,,
2382,14.38,,,
2383,14.45,,,
2384,14.36,,,
2385,14.16,,,
2386,14.19,,,
2387,14.11,,,
2388,14.16,,,
2389,14.13,,,
2390,14.1,,,
2391,14.17,,,
2392,14.09,,,
2393,14.09,,,
2394,14.06,,,
2395,14.05,,,
2396,14.04,,,
2397,13.98,,,
2398,14.09,,,
2399,14.28,,,
2400,14.33,,,
2401,14.62,,,
2402,14.55,,,
2403,14.5,,,
2404,14.38,,,
2405,14.24,,,
2406,14.32,,,
2407,14.29,,,
2408,14.18,,,
2409,14.23,,,
2410,14.17,,,
2411,14.2,,,
2412,14.09,,,
2413,14.13,,,
2414,14,,,
2415,13.95,,,
2416,13.94,,,
2417,14.01,,,
2418,13.88,,,
2419,13.99,,,
2420,14,,,
2421,13.93,,,
2422,14.09,,,
2423,14.2,,,
2424,14.22,,,
2425,14.2,,,
2426,14.41,,,
2427,14.32,,,
2428,14.28,,,
2429,14.22,,,
2430,14.16,,,
2431,14.14,,,
2432,14.04,,,
2433,14.02,,,
2434,14.01,,,
2435,14.07,,,
2436,13.99,,,
2437,13.82,,,
2438,13.87,,,
2439,13.92,,,
2440,13.96,,,
2441,13.93,,,
