benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M3,INDUSTRY    ,N1901,WBS,AIC,AIC_GAIN,"[11, 24, 77, 97, 126, 140]",1,0,11,108.41713837301222,0.24469841699828976,400,400,20.0,8,0,1569.1642478953352
M3,INDUSTRY    ,N1901,WBS,AIC,AIC_GAIN,"[11, 24, 77, 97, 126, 140]",2,11,24,118.75801850412856,0.24469841699828976,400,400,20.0,8,0,1569.1642478953352
M3,INDUSTRY    ,N1901,WBS,AIC,AIC_GAIN,"[11, 24, 77, 97, 126, 140]",3,24,77,582.531837222901,0.24469841699828976,400,400,20.0,8,0,1569.1642478953352
M3,INDUSTRY    ,N1901,WBS,AIC,AIC_GAIN,"[11, 24, 77, 97, 126, 140]",4,77,97,223.09135979265216,0.24469841699828976,400,400,20.0,8,0,1569.1642478953352
M3,INDUSTRY    ,N1901,WBS,AIC,AIC_GAIN,"[11, 24, 77, 97, 126, 140]",5,97,126,351.8250227323385,0.24469841699828976,400,400,20.0,8,0,1569.1642478953352
M3,INDUSTRY    ,N1901,WBS,AIC,AIC_GAIN,"[11, 24, 77, 97, 126, 140]",6,126,140,184.5408712703027,0.24469841699828976,400,400,20.0,8,0,1569.1642478953352
M3,INDUSTRY    ,N1901,WBS,QRMSE,QRMSE_GAIN,"[116, 128, 140]",1,0,116,1095.435837595702,0.2219773750002787,400,400,10.0,8,0,2707.951558896712
M3,INDUSTRY    ,N1901,WBS,QRMSE,QRMSE_GAIN,"[116, 128, 140]",2,116,128,653.1306231036773,0.2219773750002787,400,400,10.0,8,0,2707.951558896712
M3,INDUSTRY    ,N1901,WBS,QRMSE,QRMSE_GAIN,"[116, 128, 140]",3,128,140,959.3850981973328,0.2219773750002787,400,400,10.0,8,0,2707.951558896712
