,t1,t2,AR1,HW,theta,RF
0,0,24,363.49179685707236,334.12095392346987,352.48115597368104,300.26279218679394
1,0,25,264.2979409302301,267.0816545596078,146.54243209173933,183.987925928457
2,0,26,264.3016135709402,263.81449046649556,143.77344368424843,159.3811554127662
3,0,27,196.99522980580886,397.37366264473116,171.81053086595517,107.49948107057153
4,0,28,190.58449205679932,344.1434763576042,162.24813680736852,101.53790912710753
5,0,29,156.53061759435133,404.6117124224188,204.94062906331166,134.4474054981982
6,0,30,214.7221746991839,92.09032466859529,90.48916424884993,195.1057200622366
7,0,31,262.6052220550489,122.16243606760358,141.79091088331367,275.4484621491697
8,0,32,260.11976808746687,116.2469631822889,128.58269251286413,299.2769541887006
9,0,33,329.3093836486707,142.15725747635105,184.3819542034794,375.4201438002481
10,0,34,330.1384423120414,151.5558180063041,204.3252040104055,335.744288171036
11,0,35,302.49357920962547,179.68799760847128,201.34918299714153,277.80182811013213
12,0,36,272.251271371525,292.0041594370121,274.92705303772334,264.6598695823201
13,0,37,201.61858014714923,316.1180353862642,317.9332105893738,250.11634043663634
14,0,38,201.79725249794717,325.30655828407066,322.13155665562954,255.56653717724492
15,0,39,273.088167030856,340.0154562737605,375.57387828472906,291.23556037009547
16,0,40,289.89763974701685,338.85128193425373,310.21347959981534,280.71389891703734
17,0,41,313.3773825736435,281.2081508573243,263.0137398046529,243.31684793330908
18,0,42,349.0855179338081,347.32211492581627,352.11654830771363,174.9370435161478
19,0,43,317.803335529272,319.57077445537783,323.12839268199446,190.1454723352048
20,0,44,280.5484486663641,242.17161400958767,254.27316183771657,175.1248491253925
21,0,45,173.38449472789176,96.5569917387557,103.34346142203746,108.33660200958859
22,0,46,163.45752872531426,96.29079621347263,103.2989332668577,129.78014214257954
23,0,47,150.99450130474392,109.15964901342961,130.37270698756754,132.29531916293504
24,0,48,149.95093808727577,184.7110016586646,166.47902189931352,150.14103261508063
25,0,49,170.81294303252557,178.99318558919862,149.0528673635241,151.33003640167163
26,0,50,242.46041717330618,158.8571004081603,148.53653389770406,161.44762524688372
27,0,51,202.92361567306062,165.68476377304188,144.67537239939006,108.24231454461587
28,0,52,234.53862660964023,158.66103734648502,143.25060463838224,110.96363185124018
29,0,53,237.17882640278137,159.9626866478243,143.48755613771058,113.16864965044387
30,0,54,292.02372696225274,79.00780712915541,172.16199716590785,141.0474004233141
31,0,55,184.71086168530005,110.45039704711148,114.01917234668353,101.0482496130062
32,0,56,100.9571571291969,153.71899870803915,115.08116207865874,105.71982110545294
33,0,57,230.6344451607891,165.50564388407201,150.5968362293692,152.02590980943899
34,0,58,436.3775347916006,313.66393704261566,327.60528667192375,360.4855352912933
35,0,59,928.1169359332137,760.3128334231915,798.3145319807439,843.8703033705617
36,0,60,1538.1822944234982,1346.8725892514567,1395.8695137553282,1440.1359249365526
37,0,61,1543.159191658371,1361.8647922032703,1425.0732280482662,1443.9751178315848
38,0,62,1549.4178062220976,1375.9806716162673,1460.0119199166475,1437.9160618105625
39,0,63,1431.317833354003,1376.9098227003183,1399.3416160190816,1438.3207216500373
40,0,64,1191.0080980070545,1336.3581213219675,1257.7433724938312,1287.9375491004096
41,0,65,2117.2103536781233,1983.4784918306316,1942.0955174617973,1457.5399171393055
42,0,66,7747.839152857274,6810.853509548204,3086.0574049338434,2241.556232627394
43,0,67,143.9405474579288,1096.9685071559031,1099.765302602181,1189.1860142073403
44,0,68,229.91131562049983,535.5737857501011,694.0094098229487,551.8744158810541
45,0,69,365.06611356275505,433.16952955958084,424.1773694552794,677.679330631745
46,0,70,447.7194041823203,469.74458708869093,326.0071498077069,458.4368279219308
47,0,71,568.1174970765519,608.4770226386904,601.8647155494192,888.1005059380063
48,0,72,1260.308219115475,1271.3234281146033,1264.5930958008946,1226.4336104149932
49,0,73,1658.270541878299,1561.7115957214216,1562.9514063666127,1669.73988318631
50,0,74,2034.1603281216649,1797.3879780498917,1808.4388456998784,1458.285406596408
51,0,75,2258.996794486648,1854.327629588233,1875.8711042638247,1403.0013151304152
52,0,76,2405.1815375567708,1933.4332293592452,1962.6631864542617,1465.5264230790697
53,0,77,2851.134737377902,3019.1133094409793,2433.1411333221367,2715.8182906121665
54,0,78,2302.8658695570257,2076.908570125257,2062.78622253214,1268.4361512258024
55,0,79,1930.295751202206,506.62711679453673,519.8094104398573,1054.7584794891793
56,0,80,1598.9612048802264,419.9103777573215,337.8358788696705,1102.5108840151258
57,0,81,1474.5204350123092,457.5408875022165,368.45900223784145,773.7705399079783
58,0,82,1337.7353278857352,708.1261680358595,633.1597894261795,890.625974872883
59,0,83,966.6331934727131,916.128226173829,824.7815973614744,951.9295021361838
60,0,84,545.3754511310956,1257.5258737668244,1150.5436500254305,855.8653955076018
61,0,85,562.4490401752118,1185.9274889395674,1092.7879218606813,877.5212156747385
62,0,86,608.2482196627894,1588.965941119638,1493.2628770279812,994.25910141501
63,0,87,472.74283277845285,1338.158795979649,1240.2253082359373,1058.683896639533
64,0,88,741.7833321814937,401.5901662033733,357.0637230657269,612.9725306961285
65,0,89,876.3441465912126,356.2856564376735,375.61420032522693,377.2482576199344
66,0,90,1092.7053530994103,611.5283545882096,627.5698850987585,525.5359562259277
67,0,91,865.625756485777,393.2819815327533,413.70919216570115,525.4448048216789
68,0,92,928.2628225693921,435.3039522699562,452.9112411652826,524.5864944101909
69,0,93,756.8789181310669,415.01948141978556,419.6767669786508,561.4092692097689
70,0,94,501.4567947460422,384.1740899557376,359.28963639740954,507.2228607611064
71,0,95,633.8934613547617,566.5368980100502,538.7902604205798,606.6266919129484
72,0,96,628.310638983904,621.1479961717081,591.6231420037069,699.0406396146924
73,0,97,859.5948402986338,469.8670858946355,471.46847230283936,593.2374646345597
74,0,98,913.0996252423001,473.94963374884725,486.57458056631606,507.8742111243797
75,0,99,1191.157605275758,722.889155110049,738.3977325124578,585.32340038766
76,0,100,916.3122093426952,549.9433537907572,564.8486274064999,557.0462669289285
77,0,101,499.01976155297797,475.9137816656903,443.173011958841,348.9023803649593
78,0,102,950.097945756548,274.1140320508006,296.5927374439841,334.01812035828425
79,0,103,404.9249124309007,305.6307794984004,263.281236633522,239.49263374298687
80,0,104,544.599154337033,274.421009016859,238.13104513407131,293.13940439776025
81,0,105,399.3441181364352,410.07299141841975,370.36255151105325,261.88176515405195
82,0,106,522.7953581382017,269.4537464294314,238.51084779794115,252.88837557945695
83,0,107,397.8226707695848,314.5096620487318,282.404454280974,224.01783473476885
84,0,108,343.97473594970654,592.5461296466669,562.1250464732619,492.0654814459798
85,0,109,406.80522013234093,500.7849808643558,478.8122684845338,506.89896654925747
86,0,110,283.5117712219702,726.9056391677688,691.9183668111348,600.8971838570712
87,0,111,276.32571486342067,579.2315072010066,554.6015620967851,650.9771503207669
88,0,112,385.2897271730399,530.3626843051102,512.5899789786739,606.9017955531796
89,0,113,504.622885311759,485.3251011634081,475.17343746261884,576.2176469257026
90,0,114,758.7693439123941,389.1798682191415,393.17217934712556,346.2037938910511
91,0,115,532.38080957464,310.29018992629346,316.0695717468254,306.78849424231896
92,0,116,704.8313964436301,430.70741693792354,435.92761595773425,230.13305830846576
93,0,117,657.5434113670055,407.2557738267221,416.8023775288374,251.14078960211674
94,0,118,584.3874231554614,298.46773960068197,310.1160891896492,287.51717606248474
95,0,119,538.941220333875,260.4671866622849,262.1498691251095,315.27448383725556
96,0,120,786.8766226230555,346.89566702677405,361.54230583602117,183.9792483490275
97,0,121,642.4953099558935,286.3614277384947,301.86776515186585,239.86088109308508
98,0,122,574.0566983317252,211.88546545830178,222.30722130118275,261.58792631173213
99,0,123,692.6771119430368,265.1535817741757,281.545161074871,359.34523846747516
100,0,124,421.131021446279,219.37080024787969,196.49141871891675,373.76774476868775
