,t1,t2,AR1,HW,theta,RF
0,0,36,143.85613093673624,131.9533696924551,30.392536598226098,197.53882145302504
1,0,37,113.6874055637828,139.8221874942459,28.134320065061907,190.40433928293248
2,0,38,102.75058837436328,147.5314153030805,23.42988131083186,185.57871303088385
3,0,39,92.49069603782164,154.6114048294811,19.817588143720933,176.53715238909706
4,0,40,87.08096150337309,136.28503189221342,15.814679372846614,171.81613132136295
5,0,41,98.07725278764597,140.1866077385667,9.679448209659945,160.79924203812877
6,0,42,74.75983613289415,139.5381522416081,13.641521639331101,154.15265389706377
7,0,43,83.00993260621343,142.36699880794734,13.65579418737616,147.46973322760257
8,0,44,51.442582618364824,38.94462234349383,14.069437989143543,148.2196500982192
9,0,45,74.62373796398643,53.5385210760022,15.18337266253808,140.01785345185306
10,0,46,61.08685713805128,52.20767763929649,13.883455905902649,137.30143329908068
11,0,47,62.28770013681271,56.25262106519046,16.169450564151763,133.19736073227173
12,0,48,45.04759619341677,40.902085723809506,12.262051014313455,131.15982976276155
13,0,49,18.111007475437507,9.264333360243452,11.880927014647636,138.01076625175983
14,0,50,38.59328828683382,14.954556212880286,11.64333984489975,130.6572763187597
15,0,51,25.397105456884745,13.710414196789145,9.44316644387604,133.42528454907423
16,0,52,27.10375847009101,20.735275475456483,12.04897396392495,136.4138854019229
17,0,53,26.676220392878687,28.4237455074264,14.931853370513165,132.6920520143695
18,0,54,24.495956152974454,30.92536979626441,17.469357883754828,135.37437208645161
19,0,55,23.189144568656342,27.468694251259837,21.052005210404083,135.8580998402721
20,0,56,29.50067124718561,23.8038176424594,30.450399138885047,147.33280988998044
21,0,57,40.97422244101104,51.81956837275786,39.35820480379694,156.494661633126
22,0,58,45.17607411292115,60.60929329732749,44.22953120954675,161.19672855966866
23,0,59,58.44635173469604,73.53703510814084,54.70634504436579,171.1155783373003
24,0,60,92.18562981370638,128.19493519751296,79.35876569032587,188.92122949786093
25,0,61,83.78382044683624,115.49202377685981,75.55770566737507,192.50373896498573
26,0,62,78.95052566182117,76.33087061292804,74.828148541647,191.6756988458433
27,0,63,87.6228485120353,51.64591966224175,82.90333573595093,195.8200949681997
28,0,64,97.44077660387758,45.39580982672286,91.90854819327518,204.38778676045646
29,0,65,103.46774389402835,46.21668213433796,98.14702398600137,209.28543510235366
30,0,66,107.8098437285154,47.21264172054849,103.62478541865902,214.52121668692433
31,0,67,114.24214217527874,52.57615870774146,110.46608105903549,217.8464584982644
32,0,68,114.60711531670667,48.642646393221106,113.12261639931272,221.61361396094352
33,0,69,114.99287396260691,42.49592944934242,115.34345771211594,224.79033082067906
34,0,70,103.07835976700929,14.201603254085166,109.30724960013478,222.15785198435546
35,0,71,102.54370939225767,6.918585243966802,110.86112211026206,220.4439998896126
36,0,72,109.12593082965283,9.112570926156357,117.23819936541162,223.43844328041286
37,0,73,106.74336146881797,11.708078335146329,118.01990905916331,222.8229932826463
38,0,74,95.17470574538649,10.969147598251846,112.76262869695107,220.2550964408319
39,0,75,108.39992638636384,13.326021367418976,123.13963778285891,224.6090306975025
40,0,76,91.07795182019915,8.736752533311403,113.73071129982992,220.74265409972963
41,0,77,89.22050455915453,13.903013738436476,113.57355305182173,216.67314451602337
42,0,78,76.64664518474781,29.216445024363242,106.38785079437717,211.7479799566616
43,0,79,98.04419448788839,20.008374656250496,120.09135177958795,218.0749995590473
44,0,80,65.14948793374953,21.746358105647726,99.1501151433307,204.34595107501747
45,0,81,60.65733250684892,34.573682972471296,95.55606791834411,198.43280861637854
