results6,,,,,,,,,,,,,,
categ,avg_npoints,avg_nsegm,AR_avg_delta,AR_std_delta,AR_range_delta,HW_avg_delta,HW_std_delta,HW_range_delta,Th_avg_delta,Th_std_delta,Th_range_delta,RF_avg_delta,RF_std_delta,RF_range_delta
MICRO,126,2278,-0.1754,0.2677,0.6057,0.0123,0.2206,0.6222,-0.0142,0.0318,0.0711,-0.0316,0.0639,0.1454
OTHER,105.6,1178.2,-0.0225,0.0454,0.1035,0.0235,0.0526,0.1177,-0.0048,0.0108,0.0242,0,0,0
,,,,,,,,,,,,,,
categ,avg_npoints,avg_nsegm,AR_avg_delta,AR_std_delta,AR_range_delta,HW_avg_delta,HW_std_delta,HW_range_delta,Th_avg_delta,Th_std_delta,Th_range_delta,RF_avg_delta,RF_std_delta,RF_range_delta
Demographic,146.4,4730.6,0.1817,0.4316,1.1151,0.0086,0.2122,0.5367,0.2503,0.9369,2.4667,-0.0714,0.1382,0.3567
Finance,114,1922.4,0.3039,0.7309,1.8874,0.2597,0.4654,1.0875,-0.189,0.2759,0.6676,-0.1046,0.2152,0.515
Industry,154.6,7014.6,-0.0775,0.2043,0.4566,-0.0065,0.1603,0.4349,0.0146,0.0732,0.1903,0.001,0.0021,0.0052
Macro,146.4,4827,0.1111,0.428,1.1156,0.0132,0.0837,0.202,0.1394,0.2085,0.5447,-0.0795,0.1891,0.4518
Micro,121.6,2659.4,-0.0181,0.3377,0.8328,0.0674,0.1877,0.4528,0.0079,0.1488,0.3664,0.0368,0.0425,0.1067
Other,179.6,11602.2,-0.1342,0.3878,1.0757,0.1669,0.2183,0.5409,0.0341,0.2272,0.6135,0.0408,0.1148,0.3143
