name,categ,npred,npoints,nsegm,nIntAR,RMSEBaseAR,RMSEForeAR,deltaAR,nIntHW,RMSEBaseHW,RMSEForeHW,deltaHW,nIntTh,RMSEBaseTh,RMSEForeTH,deltaTh,nIntRF,RMSEBaseRF,RMSEForeRF,deltaRF
N2700,DEMOGRAPHIC ,18,135,2926,2,0.308155893,0.170816835,-0.445680452,2,0.196538141,0.123267954,-0.37280391,2,0.131005221,0.083598755,-0.361866996,2,0.065378923,0.062546156,-0.043328442
N2737,DEMOGRAPHIC ,18,134,2850,2,0.118481346,0.112620796,-0.049463901,2,0.083867028,0.270791537,2.228819995,1,0.144373943,0.144373943,0,2,0.113123407,0.179475626,0.586547221
N2743,DEMOGRAPHIC ,18,134,2850,2,0.21794555,0.222581262,0.021270043,2,0.142843757,0.127811484,-0.105235767,2,0.177926482,0.202924669,0.140497282,2,0.218608228,0.218996,0.001773822
N2688,DEMOGRAPHIC ,18,135,2926,2,0.081295125,0.068862129,-0.152936551,2,0.052698776,0.130280722,1.472177375,2,0.090894103,0.088359471,-0.027885543,2,0.139393245,0.145695951,0.045215293
N2721,DEMOGRAPHIC ,18,135,2926,2,0.046536739,0.055146193,0.185003364,2,0.022296185,0.020031254,-0.101583816,2,0.065300681,0.061190238,-0.062946406,2,0.088705507,0.084003367,-0.053008441
N2841,FINANCE     ,18,104,1035,1,0.090427155,0.090427155,0,1,0.068071784,0.068071784,0,1,0.088407869,0.088407869,0,1,0.092936935,0.092936935,0
N2554,FINANCE     ,18,133,2775,2,0.042527538,0.068072021,0.600657474,2,0.087651556,0.088393789,0.008467999,2,0.028709866,0.063195376,1.201172809,1,0.066466668,0.066466668,0
N2615,FINANCE     ,18,134,2850,2,0.042071965,0.051951295,0.234819788,1,0.052923942,0.052923942,0,1,0.086711422,0.086711422,0,2,0.11538774,0.11534226,-0.000394155
N2522,FINANCE     ,18,143,3570,2,0.055685032,0.09446894,0.696487138,2,0.038814097,0.036918363,-0.048841364,2,0.04799836,0.01923059,-0.599349021,2,0.096542219,0.095538504,-0.010396645
N2544,FINANCE     ,18,134,2850,2,0.153011005,0.115653262,-0.244150693,2,0.025599225,0.030219993,0.18050421,2,0.138688332,0.146045289,0.053046692,1,0.126597535,0.126597535,0
N2208,INDUSTRY    ,18,134,2850,2,0.353421401,0.273423724,-0.226352103,2,0.127544946,0.132781644,0.041057664,2,0.142260267,0.13241712,-0.069191116,2,0.218678367,0.224933076,0.028602318
N2186,INDUSTRY    ,18,134,2850,2,0.318244886,0.296713996,-0.067655099,2,0.343911479,0.399476343,0.161567343,1,0.38129982,0.38129982,0,2,0.299165444,0.285881125,-0.044404589
N1979,INDUSTRY    ,18,144,3655,2,0.086350056,0.100051052,0.158668059,2,0.094123108,0.196611406,1.088874987,2,0.086917466,0.094190952,0.083682675,2,0.083515186,0.077782158,-0.068646526
N2130,INDUSTRY    ,18,144,3655,2,0.113267586,0.11183765,-0.012624406,2,0.183542001,0.230189592,0.254152138,2,0.212744561,0.198217626,-0.06828346,2,0.138774496,0.134385952,-0.031623564
N2144,INDUSTRY    ,18,144,3655,1,0.255455513,0.255455513,0,2,0.25963643,0.298764797,0.150704455,2,0.23692013,0.255773475,0.079576796,1,0.259271,0.259271,0
N2465,MACRO       ,18,132,2701,2,0.352037283,0.255305048,-0.274778381,2,0.068093042,0.123402041,0.812256247,2,0.150420307,0.133251867,-0.114136448,2,0.128246946,0.144983046,0.130499015
