benchmark,category,series_id,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,pen
M6,Finance,ABBV,AIC,"[12, 49, 88, 142, 199, 227, 253]",1,0,12,6.218556596770929,341.6892898281893,0.02022670899896184,1,8,40.0
M6,Finance,ABBV,AIC,"[12, 49, 88, 142, 199, 227, 253]",2,12,49,36.364092361316914,341.6892898281893,0.02022670899896184,1,8,40.0
M6,Finance,ABBV,AIC,"[12, 49, 88, 142, 199, 227, 253]",3,49,88,80.49894806382764,341.6892898281893,0.02022670899896184,1,8,40.0
M6,Finance,ABBV,AIC,"[12, 49, 88, 142, 199, 227, 253]",4,88,142,53.29770057540757,341.6892898281893,0.02022670899896184,1,8,40.0
M6,Finance,ABBV,AIC,"[12, 49, 88, 142, 199, 227, 253]",5,142,199,88.86427242643832,341.6892898281893,0.02022670899896184,1,8,40.0
M6,Finance,ABBV,AIC,"[12, 49, 88, 142, 199, 227, 253]",6,199,227,24.949282994985126,341.6892898281893,0.02022670899896184,1,8,40.0
M6,Finance,ABBV,AIC,"[12, 49, 88, 142, 199, 227, 253]",7,227,253,51.496436809442805,341.6892898281893,0.02022670899896184,1,8,40.0
M6,Finance,ABBV,QRMSE,[253],1,0,253,32.553370450994045,32.553370450994045,0.004735292000987101,1,8,40.0
