benchmark,category,series_id,cost_name,changepoints,seg_index,low,high,cost,time_sec,jump,min_size,pen
M6,Finance,BTCUSD,AIC,"[43, 100, 167, 209, 274, 311, 367]",1,0,43,553.4350218224613,0.0335787080002774,1,8,60.0
M6,Finance,BTCUSD,AIC,"[43, 100, 167, 209, 274, 311, 367]",2,43,100,677.2716387727286,0.0335787080002774,1,8,60.0
M6,Finance,BTCUSD,AIC,"[43, 100, 167, 209, 274, 311, 367]",3,100,167,878.6882315616809,0.0335787080002774,1,8,60.0
M6,Finance,BTCUSD,AIC,"[43, 100, 167, 209, 274, 311, 367]",4,167,209,542.0555556813767,0.0335787080002774,1,8,60.0
M6,Finance,BTCUSD,AIC,"[43, 100, 167, 209, 274, 311, 367]",5,209,274,947.3236539382575,0.0335787080002774,1,8,60.0
M6,Finance,BTCUSD,AIC,"[43, 100, 167, 209, 274, 311, 367]",6,274,311,580.6639661001831,0.0335787080002774,1,8,60.0
M6,Finance,BTCUSD,AIC,"[43, 100, 167, 209, 274, 311, 367]",7,311,367,882.4096266681348,0.0335787080002774,1,8,60.0
M6,Finance,BTCUSD,QRMSE,[367],1,0,367,341.40696748367776,0.0020140419983363245,1,8,0.05
