,0,1,2,3,4,5
31,0,39,699.8777851392845,<statsmodels.tsa.arima.model.ARIMA object at 0x0000022262C18F90>,"(0, 0, 0, 0)","ar.L1    -8.848605e-01
ar.L2    -4.537387e-01
sigma2    5.158857e+06
dtype: float64"
32,0,40,717.3229167718835,<statsmodels.tsa.arima.model.ARIMA object at 0x0000022262C363D0>,"(0, 0, 0, 0)","ar.L1    -8.859002e-01
ar.L2    -4.584230e-01
sigma2    5.046036e+06
dtype: float64"
33,0,41,735.066505639624,<statsmodels.tsa.arima.model.ARIMA object at 0x000002225EA96AD0>,"(0, 0, 0, 0)","ar.L1    -8.958798e-01
ar.L2    -4.673215e-01
sigma2    4.976977e+06
dtype: float64"
34,0,42,752.3894919704292,<statsmodels.tsa.arima.model.ARIMA object at 0x000002225EA94550>,"(0, 0, 0, 0)","ar.L1    -8.893117e-01
ar.L2    -4.655747e-01
sigma2    4.864708e+06
dtype: float64"
35,0,43,769.8436176758473,<statsmodels.tsa.arima.model.ARIMA object at 0x000002225BDD15D0>,"(0, 0, 0, 0)","ar.L1    -8.876454e-01
ar.L2    -4.567977e-01
sigma2    4.775559e+06
dtype: float64"
36,0,44,787.0855936143678,<statsmodels.tsa.arima.model.ARIMA object at 0x0000022262C36790>,"(0, 0, 0, 0)","ar.L1    -8.882286e-01
ar.L2    -4.554007e-01
sigma2    4.667715e+06
dtype: float64"
37,0,45,806.1622242986357,<statsmodels.tsa.arima.model.ARIMA object at 0x0000022262C7C990>,"(0, 0, 0, 0)","ar.L1    -8.849362e-01
ar.L2    -4.601537e-01
sigma2    4.762855e+06
dtype: float64"
38,0,46,823.5093933733983,<statsmodels.tsa.arima.model.ARIMA object at 0x0000022262C1A550>,"(0, 0, 0, 0)","ar.L1    -8.739007e-01
ar.L2    -4.518568e-01
sigma2    4.673254e+06
dtype: float64"
39,0,47,840.6706141596994,<statsmodels.tsa.arima.model.ARIMA object at 0x0000022262B18CD0>,"(0, 0, 0, 0)","ar.L1    -8.738388e-01
ar.L2    -4.535935e-01
sigma2    4.568420e+06
dtype: float64"
40,0,48,858.7472467287853,<statsmodels.tsa.arima.model.ARIMA object at 0x0000022262AC0190>,"(0, 0, 0, 0)","ar.L1    -8.812900e-01
ar.L2    -4.667179e-01
sigma2    4.557006e+06
dtype: float64"
41,0,49,875.9971015064285,<statsmodels.tsa.arima.model.ARIMA object at 0x000002225EA96F10>,"(0, 0, 0, 0)","ar.L1    -8.893734e-01
ar.L2    -4.718199e-01
sigma2    4.468626e+06
dtype: float64"
42,0,50,893.8579691176315,<statsmodels.tsa.arima.model.ARIMA object at 0x0000022262BE4FD0>,"(0, 0, 0, 0)","ar.L1    -8.787609e-01
ar.L2    -4.771375e-01
sigma2    4.442410e+06
dtype: float64"
43,0,51,911.7562877262096,<statsmodels.tsa.arima.model.ARIMA object at 0x000002225EA829D0>,"(0, 0, 0, 0)","ar.L1    -8.642445e-01
ar.L2    -4.549040e-01
sigma2    4.423893e+06
dtype: float64"
44,0,52,929.8094711588587,<statsmodels.tsa.arima.model.ARIMA object at 0x0000022262AC3510>,"(0, 0, 0, 0)","ar.L1    -8.623514e-01
ar.L2    -4.527112e-01
sigma2    4.416635e+06
dtype: float64"
