Date,Close
5/9/2023,0.97854
5/10/2023,0.97602
5/11/2023,0.97669
5/12/2023,0.97565
5/15/2023,0.97488
5/16/2023,0.97362
5/17/2023,0.9741
5/18/2023,0.9737
5/19/2023,0.97493
5/22/2023,0.97203
5/23/2023,0.971
5/24/2023,0.97074
5/25/2023,0.97262
5/26/2023,0.97059
5/29/2023,0.9711
5/30/2023,0.96837
5/31/2023,0.9722
6/1/2023,0.97301
6/2/2023,0.97438
6/5/2023,0.9731
6/6/2023,0.97037
6/7/2023,0.97033
6/8/2023,0.97382
6/9/2023,0.96913
6/12/2023,0.9713
6/13/2023,0.97769
6/14/2023,0.97662
6/15/2023,0.97597
6/16/2023,0.976
6/19/2023,0.9785
6/20/2023,0.97858
6/21/2023,0.98023
6/22/2023,0.98088
6/23/2023,0.9805
6/26/2023,0.9769
6/27/2023,0.9772
6/28/2023,0.9792
6/29/2023,0.97876
6/30/2023,0.97716
7/3/2023,0.9764
7/4/2023,0.9778
7/5/2023,0.97582
7/6/2023,0.9753
7/7/2023,0.97491
7/10/2023,0.97489
7/11/2023,0.97407
7/12/2023,0.96777
7/13/2023,0.96541
7/14/2023,0.96418
7/17/2023,0.96778
7/18/2023,0.9668
7/19/2023,0.96303
7/20/2023,0.96133
7/21/2023,0.96452
7/24/2023,0.96367
7/25/2023,0.96232
7/26/2023,0.95532
7/27/2023,0.95445
7/28/2023,0.95384
7/31/2023,0.95887
8/1/2023,0.95857
8/2/2023,0.96048
8/3/2023,0.9601
8/4/2023,0.95743
8/7/2023,0.96177
8/8/2023,0.96044
8/9/2023,0.95954
8/10/2023,0.96261
8/11/2023,0.96292
8/14/2023,0.95938
8/15/2023,0.9577
8/16/2023,0.9579
8/17/2023,0.95707
8/18/2023,0.95504
8/21/2023,0.95948
8/22/2023,0.95734
8/23/2023,0.95462
8/24/2023,0.9533
8/25/2023,0.95591
8/28/2023,0.9553
8/29/2023,0.95641
8/30/2023,0.9553
8/31/2023,0.95968
9/1/2023,0.95772
9/4/2023,0.954
9/5/2023,0.95478
9/6/2023,0.95384
9/7/2023,0.95587
9/8/2023,0.95494
9/11/2023,0.95593
9/12/2023,0.95785
9/13/2023,0.95852
9/14/2023,0.9589
9/15/2023,0.9531
9/18/2023,0.95678
9/19/2023,0.95937
9/20/2023,0.95845
9/21/2023,0.95794
9/22/2023,0.96431
9/25/2023,0.96588
9/26/2023,0.96604
9/27/2023,0.9679
9/28/2023,0.96731
9/29/2023,0.96622
10/2/2023,0.96707
10/3/2023,0.96197
10/4/2023,0.9642
10/5/2023,0.96317
10/6/2023,0.96256
10/9/2023,0.96041
10/10/2023,0.9573
10/11/2023,0.95925
10/12/2023,0.95721
10/13/2023,0.95648
10/16/2023,0.9496
10/17/2023,0.9503
10/18/2023,0.95161
10/19/2023,0.94712
