t1,t2,m,q,cost
0,15,-9.666764705882361,5029.200735294117,15.399112691799278
16,20,33.71999999999998,4496.620000000001,5.823367686503603
21,25,-36.66999999999999,5617.65,8.769931430605965
26,30,-56.38000000000002,6567.96,4.990052048129607
31,35,-41.61000000000004,5852.210000000001,5.099392893752818
36,40,-27.569999999999983,5819.039999999999,5.090607436880124
41,45,-27.789999999999967,5775.689999999998,4.819749156648891
46,55,-107.31090909090908,9389.83090909091,10.25414554920313
56,65,62.392727272727264,220.98000000000093,6.994436395136955
66,95,10.018976640711902,3442.6290470893587,15.5624035976741
96,100,54.04999999999991,-908.7399999999916,4.305112556854467
101,120,4.607593984962414,3919.155864661653,8.886081929654974
121,125,-37.280000000000015,9326.480000000003,4.935796555443084
126,130,-0.15000000000000185,4482.759999999999,5.239328555724348
131,135,142.95999999999995,-14283.319999999992,5.7705377493869054
136,140,-84.44000000000007,16240.540000000012,4.411224164500011
141,144,42.24999999999998,-1411.866666666664,4.335928823010338
