benchmark,category,series_id,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,pen
M4,Finance,Q18530,AIC,"[23, 64, 117]",1,0,23,152.11729511093787,813.8372228116182,0.006056375001207925,1,8,40.0
M4,Finance,Q18530,AIC,"[23, 64, 117]",2,23,64,223.01070428717915,813.8372228116182,0.006056375001207925,1,8,40.0
M4,Finance,Q18530,AIC,"[23, 64, 117]",3,64,117,438.7092234135011,813.8372228116182,0.006056375001207925,1,8,40.0
M4,Finance,Q18530,QRMSE,"[79, 117]",1,0,79,157.39732004103772,302.09928463182246,0.0027601670008152723,1,8,40.0
M4,Finance,Q18530,QRMSE,"[79, 117]",2,79,117,144.7019645907847,302.09928463182246,0.0027601670008152723,1,8,40.0
