benchmark,category,series_id,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,pen
M4,Finance,Q18638,AIC,"[58, 67, 108, 136]",1,0,58,533.9296935158101,1415.3597817375608,0.007071207999615581,1,8,40.0
M4,Finance,Q18638,AIC,"[58, 67, 108, 136]",2,58,67,77.65066293712373,1415.3597817375608,0.007071207999615581,1,8,40.0
M4,Finance,Q18638,AIC,"[58, 67, 108, 136]",3,67,108,429.75460132983375,1415.3597817375608,0.007071207999615581,1,8,40.0
M4,Finance,Q18638,AIC,"[58, 67, 108, 136]",4,108,136,374.0248239547932,1415.3597817375608,0.007071207999615581,1,8,40.0
M4,Finance,Q18638,QRMSE,[136],1,0,136,47.76607610760579,47.76607610760579,0.0007514160006394377,1,8,0.05
