,0,1,2,3,4,5
0,0,8,134.2123977413714,"(1, 0, 0)","(0, 0, 0, 0)","(-4.285714285714331, 2880.0)"
1,0,9,151.3087546196426,"(1, 0, 0)","(0, 0, 0, 0)","(86.00000000000017, 2669.333333333331)"
2,0,10,167.80439154246253,"(1, 0, 0)","(0, 0, 0, 0)","(146.909090909091, 2506.9090909090896)"
3,0,11,192.27511109916946,"(1, 0, 0)","(0, 0, 0, 0)","(-12.000000000000034, 2983.636363636364)"
4,0,12,208.59534296157983,"(1, 0, 0)","(0, 0, 0, 0)","(21.398601398601375, 2872.307692307692)"
5,0,13,221.06356780898375,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3094.429617462663, 'ar.L1': -0.6541563221820522, 'ar.L2': -0.7938564300666425, 'sigma2': 651881.5356581819}"
6,0,14,239.50334747908397,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3171.4274040362734, 'ar.L1': -0.4069172106783163, 'ar.L2': -0.6663862220881819, 'sigma2': 896174.1308906636}"
7,0,15,254.86713804052573,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3162.1916466671814, 'ar.L1': -0.4088352125896242, 'ar.L2': -0.6638830316772337, 'sigma2': 757890.805726029}"
8,0,16,270.9551036267188,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3141.492238333134, 'ar.L1': -0.35967958474463135, 'ar.L2': -0.6420657981780495, 'sigma2': 790799.1688638676}"
9,0,17,289.145321974688,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3087.9827507931195, 'ar.L1': -0.34061078488929564, 'ar.L2': -0.557740755978151, 'sigma2': 880007.0301758009}"
10,0,18,305.275703431511,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3062.4066847669264, 'ar.L1': -0.31845141538421157, 'ar.L2': -0.5540136649106708, 'sigma2': 863959.3450349311}"
11,0,19,340.3864600148785,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3200.404250159637, 'ar.L1': -0.43534538604310696, 'ar.L2': -0.6098333860516109, 'sigma2': 2333056.053910923}"
12,0,20,357.2244895522257,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3230.9988983450553, 'ar.L1': -0.2862540308236726, 'ar.L2': -0.6058055325658803, 'sigma2': 2202361.0349709876}"
13,0,21,375.2818331236615,"(0, 0, 0)","(0, 0, 0, 0)","{'const': 3285.7113517527423, 'sigma2': 2834637.434044478}"
14,0,22,391.99479625192345,"(0, 0, 0)","(0, 0, 0, 0)","{'const': 3267.279095643512, 'sigma2': 2672743.572374557}"
15,0,23,417.79563367330655,"(0, 0, 0)","(0, 0, 0, 0)","{'const': 3506.090741983598, 'sigma2': 3832034.1211547577}"
16,0,24,435.4746649811765,"(0, 0, 0)","(0, 0, 0, 0)","{'const': 3575.000000000001, 'sigma2': 3814020.3604696323}"
17,0,25,444.83691277355416,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.6552098520267547, 'ar.L2': -0.5440754128136158, 'sigma2': 5392931.696664036}"
18,0,26,462.8783964266552,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.7121942424690811, 'ar.L2': -0.603200475899169, 'sigma2': 5292241.235465177}"
19,0,27,480.22215357142227,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.7328897699169727, 'ar.L2': -0.6023252801377426, 'sigma2': 5094191.761283578}"
20,0,28,497.47446359074405,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.7317290177508671, 'ar.L2': -0.6161105139773541, 'sigma2': 4895470.389159179}"
21,0,29,514.6337752772865,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.7336267254318416, 'ar.L2': -0.6187658586305782, 'sigma2': 4707411.10101418}"
22,0,30,532.0148181399853,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.7477901851001578, 'ar.L2': -0.6183671633141874, 'sigma2': 4573792.4734105235}"
23,0,31,550.0763381022167,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.7571898734939327, 'ar.L2': -0.5974090000379126, 'sigma2': 4565309.839830913}"
24,0,32,571.2947691148057,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.769413162529874, 'ar.L2': -0.5638288005896566, 'sigma2': 5054264.613031988}"
25,0,33,590.0705805765182,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8115545174835541, 'ar.L2': -0.5664873756071286, 'sigma2': 5130247.7717869505}"
26,0,34,608.9448497133916,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8480029423129493, 'ar.L2': -0.5451963618303319, 'sigma2': 5226771.602880745}"
