benchmark,category,series_id,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,pen
M4,Industry,Q14989,AIC,"[76, 94, 139, 153]",1,0,76,825.3188769626062,1848.8015428324393,0.009838541998760775,1,8,40.0
M4,Industry,Q14989,AIC,"[76, 94, 139, 153]",2,76,94,204.35107213757925,1848.8015428324393,0.009838541998760775,1,8,40.0
M4,Industry,Q14989,AIC,"[76, 94, 139, 153]",3,94,139,596.9229338110691,1848.8015428324393,0.009838541998760775,1,8,40.0
M4,Industry,Q14989,AIC,"[76, 94, 139, 153]",4,139,153,222.20865992118473,1848.8015428324393,0.009838541998760775,1,8,40.0
M4,Industry,Q14989,QRMSE,"[14, 24, 32, 85, 102, 140, 153]",1,0,14,200.31363236669068,7468.194702480394,0.0014023339972482063,1,8,40.0
M4,Industry,Q14989,QRMSE,"[14, 24, 32, 85, 102, 140, 153]",2,14,24,145.57834633406986,7468.194702480394,0.0014023339972482063,1,8,40.0
M4,Industry,Q14989,QRMSE,"[14, 24, 32, 85, 102, 140, 153]",3,24,32,132.34347226245586,7468.194702480394,0.0014023339972482063,1,8,40.0
M4,Industry,Q14989,QRMSE,"[14, 24, 32, 85, 102, 140, 153]",4,32,85,609.2230819853477,7468.194702480394,0.0014023339972482063,1,8,40.0
M4,Industry,Q14989,QRMSE,"[14, 24, 32, 85, 102, 140, 153]",5,85,102,571.1969044904102,7468.194702480394,0.0014023339972482063,1,8,40.0
M4,Industry,Q14989,QRMSE,"[14, 24, 32, 85, 102, 140, 153]",6,102,140,2012.222608995631,7468.194702480394,0.0014023339972482063,1,8,40.0
M4,Industry,Q14989,QRMSE,"[14, 24, 32, 85, 102, 140, 153]",7,140,153,3797.3166560457885,7468.194702480394,0.0014023339972482063,1,8,40.0
