benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M4,Industry,Q16176,WBS,AIC,AIC_GAIN,"[71, 118]",1,0,71,937.2188826697482,0.13396145799924852,400,400,20.0,8,0,1615.145484954949
M4,Industry,Q16176,WBS,AIC,AIC_GAIN,"[71, 118]",2,71,118,677.9266022852008,0.13396145799924852,400,400,20.0,8,0,1615.145484954949
M4,Industry,Q16176,WBS,QRMSE,QRMSE_GAIN,[118],1,0,118,10894084.826228108,0.05926470799931849,400,400,10.0,8,0,10894084.826228108
