benchmark,category,series_id,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,pen
M3,DEMOGRAPHIC ,N2745,AIC,"[103, 123, 134]",1,0,103,1232.9867126122172,1649.3175290302793,0.010088791999805835,1,8,40.0
M3,DEMOGRAPHIC ,N2745,AIC,"[103, 123, 134]",2,103,123,281.62016157403116,1649.3175290302793,0.010088791999805835,1,8,40.0
M3,DEMOGRAPHIC ,N2745,AIC,"[103, 123, 134]",3,123,134,134.71065484403096,1649.3175290302793,0.010088791999805835,1,8,40.0
M3,DEMOGRAPHIC ,N2745,QRMSE,[134],1,0,134,176.03829513752657,176.03829513752657,0.0007404999996651895,1,8,0.05
