mathtests/Q19518,costAIC, n_runs,6786,t_runs 0.04,tMIP,0.31,idrow,38,t.cpu,0.31,segm,,cost,49622.522,n_brk,9
mathtests/Q18530,costAIC, n_runs,6105,t_runs 0.04,tMIP,0.35,idrow,39,t.cpu,0.35,segm,,cost,50319.016,n_brk,9
mathtests/Q22221,costAIC, n_runs,267546,t_runs 2.34,tMIP,75.66,idrow,40,t.cpu,75.66,segm,,cost,56653.848,n_brk,9
mathtests/Q15208,costAIC, n_runs,12090,t_runs 0.09,tMIP,0.85,idrow,41,t.cpu,0.85,segm,,cost,57956.598,n_brk,9
mathtests/Q16120,costAIC, n_runs,6670,t_runs 0.04,tMIP,0.30,idrow,42,t.cpu,0.30,segm,,cost,58929.134,n_brk,9
mathtests/Q16176,costAIC, n_runs,6216,t_runs 0.04,tMIP,0.30,idrow,43,t.cpu,0.30,segm,,cost,60551.933,n_brk,9
mathtests/Q14989,costAIC, n_runs,10731,t_runs 0.07,tMIP,0.57,idrow,44,t.cpu,0.57,segm,,cost,62249.372,n_brk,9
mathtests/Q15697,costAIC, n_runs,266815,t_runs 2.33,tMIP,71.77,idrow,45,t.cpu,71.77,segm,,cost,69924.699,n_brk,9
mathtests/Q1988,costAIC, n_runs,12403,t_runs 0.09,tMIP,0.87,idrow,46,t.cpu,0.87,segm,,cost,71851.103,n_brk,9
mathtests/Q3770,costAIC, n_runs,7140,t_runs 0.07,tMIP,0.43,idrow,47,t.cpu,0.43,segm,,cost,73499.638,n_brk,9
mathtests/Q4038,costAIC, n_runs,6216,t_runs 0.07,tMIP,0.29,idrow,48,t.cpu,0.29,segm,,cost,74023.962,n_brk,9
mathtests/Q3957,costAIC, n_runs,7140,t_runs 0.05,tMIP,0.35,idrow,49,t.cpu,0.35,segm,,cost,74307.204,n_brk,9
mathtests/Q5109,costAIC, n_runs,369370,t_runs 3.58,tMIP,153.33,idrow,50,t.cpu,153.33,segm,,cost,81928.983,n_brk,9
mathtests/Q11298,costAIC, n_runs,5253,t_runs 0.04,tMIP,0.49,idrow,51,t.cpu,0.49,segm,,cost,83270.030,n_brk,9
mathtests/Q9597,costAIC, n_runs,4950,t_runs 0.06,tMIP,0.31,idrow,52,t.cpu,0.31,segm,,cost,84352.421,n_brk,9
mathtests/Q9516,costAIC, n_runs,4950,t_runs 0.03,tMIP,0.21,idrow,53,t.cpu,0.21,segm,,cost,85774.646,n_brk,9
mathtests/Q9551,costAIC, n_runs,4950,t_runs 0.03,tMIP,0.22,idrow,54,t.cpu,0.22,segm,,cost,86558.289,n_brk,9
mathtests/Q10414,costAIC, n_runs,266815,t_runs 2.64,tMIP,69.87,idrow,55,t.cpu,69.87,segm,,cost,94229.450,n_brk,9
mathtests/Q23416,costAIC, n_runs,15051,t_runs 0.14,tMIP,1.15,idrow,56,t.cpu,1.15,segm,,cost,95709.726,n_brk,9
mathtests/Q23410,costAIC, n_runs,14535,t_runs 0.12,tMIP,0.96,idrow,57,t.cpu,0.96,segm,,cost,97265.402,n_brk,9
mathtests/Q23524,costAIC, n_runs,6670,t_runs 0.05,tMIP,0.32,idrow,58,t.cpu,0.32,segm,,cost,98260.207,n_brk,9
mathtests/Q23487,costAIC, n_runs,6670,t_runs 0.05,tMIP,0.33,idrow,59,t.cpu,0.33,segm,,cost,98778.517,n_brk,9
mathtests/Q23661,costAIC, n_runs,241165,t_runs 2.32,tMIP,55.10,idrow,60,t.cpu,55.10,segm,,cost,104388.254,n_brk,9
