,WS_ms_Avg,,,,
327,1.608,,,909,2.435
328,1.143,,,913,1.724
329,1.482,,,917,6.15
330,2.097,,,921,4.66
331,2.249,,,925,6.133
332,2.214,,,929,3.129
333,2.922,,,933,4.778
334,2.39,,,937,7.409
335,2.82,,,941,8.55
336,3.972,,,945,6.281
337,4.548,,,949,8.26
338,4.934,,,953,9.24
339,5.49,,,957,5.613
340,5.954,,,961,5.78
341,6.669,,,965,9.66
342,6.081,,,969,6.83
343,6.266,,,973,4.53
344,6.056,,,977,2.214
345,4.945,,,981,3.4
346,4.722,,,985,3.45
347,3.127,,,989,5.253
348,2.176,,,993,6.042
349,1.401,,,997,6.874
350,1.285,,,1001,5.926
351,2.299,,,1005,5.394
352,1.819,,,1009,4.348
353,1.722,,,1013,1.631
354,1.69,,,1017,2.789
355,1.968,,,1021,3.586
356,2.476,,,1025,4.148
357,3.247,,,1029,2.077
358,3.446,,,1033,3.695
359,1.132,,,1037,2.884
360,0.986,,,1041,1.535
361,0.76,,,1045,4.177
362,0.712,,,1049,3.868
363,0.873,,,1053,4.028
364,0.661,,,1057,6.803
365,0.457,,,1061,7.481
366,0.121,,,1065,3.55
367,0.051,,,1069,1.265
368,0.647,,,1073,4.624
369,0.95,,,1077,2.418
370,0.781,,,1081,0.737
371,0.641,,,1085,2.963
372,0.137,,,1089,1.817
373,0.58,,,1093,1.356
374,0.656,,,1097,1.705
375,0.348,,,1101,5.812
376,0.878,,,1105,5.573
377,2.384,,,1109,5.372
378,4.357,,,1113,4.501
379,3.538,,,1117,3.2
380,3.769,,,1121,2.675
381,2.316,,,1125,4.09
382,1.131,,,1129,7.543
383,1.846,,,1133,7.477
384,3.663,,,1137,8.9
385,4.215,,,1141,6.958
386,4.42,,,1145,6.506
387,3.694,,,1149,10.12
388,2.038,,,1153,7.743
389,2.062,,,1157,10.04
390,3.268,,,1161,8.25
391,3.426,,,1165,7.863
392,2.835,,,1169,4.531
393,1.821,,,1173,4.943
394,2.133,,,1177,5.282
395,2.374,,,1181,2.995
396,2.728,,,1185,3.921
397,3.031,,,1189,2.668
398,3.383,,,1193,2.923
399,3.499,,,1197,9.37
400,3.838,,,1201,6.477
401,2.932,,,1205,4.647
402,3.681,,,1209,3.16
403,4.358,,,1213,4.885
404,3.397,,,1217,3.047
405,1.735,,,1221,1.68
406,0.063,,,1225,1.306
407,1.904,,,1229,4.755
408,4.298,,,1233,1.997
409,4.773,,,1237,5.097
410,4.019,,,1241,6.026
411,4.295,,,1245,7.031
412,2.514,,,1249,3.661
413,3.381,,,1253,4.202
414,3.29,,,1257,2.531
415,2.013,,,1261,1.321
416,1.778,,,1265,2.708
417,0.748,,,1269,2.501
418,1.878,,,1273,3.153
419,4.368,,,1277,1.595
